case,year,SFCO2_PgCperyr,SFCO2_FFF_PgCperyr,SFCO2_LND_PgCperyr,SFCO2_OCN_PgCperyr,TMCO2_PgC_avg,TMCO2_FFF_PgC_avg,TMCO2_LND_PgC_avg,TMCO2_OCN_PgC_avg,BURDENBC_PgC_avg,co2vmr_ppmv_avg,ch4vmr_ppmv_avg,co2vmr_PgC_avg,ch4vmr_PgC_avg,TMCO2_ppmv_avg
iesm85_coupled,2006,4.752513121,7.90725922,-0.827366655,-2.327379441,845.2271351,916.5230166,655.6040786,471.5094746,7.93E-05,381.88382,1.756426362,815.0125731,3.748547318,396.0412118
iesm85_coupled,2007,5.089702083,7.92480267,-0.436092364,-2.399008232,849.6926597,924.4407715,654.4896731,469.1716497,8.21E-05,383.8730802,1.760956865,819.2580321,3.758216271,398.1335864
iesm85_coupled,2008,5.528212216,7.940418864,-0.032627198,-2.379579451,855.3332922,932.3741673,654.5763016,466.792258,8.17E-05,385.9983803,1.767223888,823.793826,3.771591288,400.7765718
iesm85_coupled,2009,3.618927628,7.956035063,-1.868649762,-2.468457667,859.7859479,940.3231793,653.5276648,464.3445384,7.87E-05,388.264619,1.774902009,828.6304096,3.787977855,402.8629165
iesm85_coupled,2010,5.854038219,7.974293931,0.333710037,-2.453965752,864.2334514,948.2878485,652.4438068,461.9112308,8.21E-05,390.5775666,1.783741132,833.566679,3.806842222,404.9468471
iesm85_coupled,2011,5.551292926,8.182201401,-0.148561256,-2.482347222,870.6298755,956.3652996,653.2471609,459.4268496,8.17E-05,392.9221908,1.793761946,838.5705522,3.828228541,407.9439675
iesm85_coupled,2012,4.807767862,8.392068402,-1.105376418,-2.478924129,875.0854685,964.6525926,651.9299525,456.912358,8.16E-05,395.3386327,1.805061479,843.7276979,3.852343891,410.0316885
iesm85_coupled,2013,6.090741477,8.602169339,0.005707458,-2.517135319,880.5666059,973.1498495,651.3559017,454.4702894,8.14E-05,397.8398588,1.817633822,849.0657892,3.879175656,412.5999406
iesm85_coupled,2014,6.55998207,8.812176422,0.395470479,-2.647664835,887.0508038,981.8572,651.7592207,451.8438177,8.24E-05,400.425396,1.831407232,854.5838165,3.90857073,415.6381885
iesm85_coupled,2015,5.832979183,9.021737224,-0.346042881,-2.842715165,893.3707877,990.7745086,651.8995523,449.1061614,8.08E-05,403.0906589,1.846301744,860.2719935,3.940358445,418.599492
iesm85_coupled,2016,4.712432593,9.201761565,-1.585456961,-2.903872006,898.714474,999.8865309,651.0087777,446.2286,7.91E-05,405.8274496,1.862213468,866.1128244,3.974317086,421.1033397
iesm85_coupled,2017,5.404467152,9.381503695,-1.405856238,-2.571180316,903.3807503,1009.178299,649.134222,443.4776641,7.92E-05,408.629502,1.87903853,872.0929362,4.010224962,423.2897789
iesm85_coupled,2018,8.124431563,9.561245816,1.335987893,-2.772802151,910.3115117,1018.649809,649.2127186,440.8584187,8.28E-05,411.4949534,1.896689288,878.2083535,4.04789503,426.5372694
iesm85_coupled,2019,7.661132359,9.740987951,0.804367627,-2.88422321,918.3851336,1028.301061,650.5267118,437.9667953,7.82E-05,414.4242361,1.915088583,884.459999,4.08716262,430.3202608
iesm85_coupled,2020,4.99405972,9.921799403,-2.026896963,-2.900842717,924.4842748,1038.132072,649.6501832,435.1114542,8.05E-05,417.4140248,1.934123611,890.8407757,4.127786983,433.1780859
iesm85_coupled,2021,6.130440872,10.181647,-1.345338921,-2.705867205,930.0947004,1048.183624,648.0414224,432.2790887,8.04E-05,420.4582771,1.95363045,897.3377879,4.16941828,435.8069174
iesm85_coupled,2022,8.147099401,10.44224977,0.329666652,-2.624817025,937.2136066,1058.495769,647.4865786,429.6406936,7.73E-05,423.5600693,1.973494225,903.9576013,4.211811348,439.1425654
iesm85_coupled,2023,8.132400135,10.70285256,0.292905354,-2.863357767,945.2901323,1069.068517,647.7834551,426.847595,7.86E-05,426.7295587,1.993693618,910.7218935,4.254920688,442.9269175
iesm85_coupled,2024,7.302233971,10.96345534,-0.777116878,-2.884104475,953.2819526,1079.901867,647.7704557,424.0190643,8.05E-05,429.9726973,2.01423813,917.643367,4.298766575,446.6715798
iesm85_coupled,2025,8.548103727,11.22384904,0.530734497,-3.206479817,960.7725524,1090.995817,647.2227857,420.963384,8.02E-05,433.2902237,2.035139926,924.7235982,4.343374977,450.1813893
iesm85_coupled,2026,8.161322436,11.46878086,-0.119611126,-3.187847305,969.5320878,1102.342389,647.8283479,417.7707856,7.67E-05,436.6779314,2.056393595,931.9536096,4.388734341,454.2857736
iesm85_coupled,2027,6.665876571,11.71356514,-1.984148356,-3.063540214,976.5585715,1113.933747,646.3977769,414.6364824,7.49E-05,440.1276404,2.077959487,939.3159435,4.434760048,457.578116
iesm85_coupled,2028,8.56187635,11.9583494,-0.321477971,-3.074995084,984.3077067,1125.769889,645.3632007,411.5840517,7.69E-05,443.6330285,2.099791475,946.7971073,4.481353657,461.2090653
iesm85_coupled,2029,10.83817424,12.20313367,2.076814485,-3.441773931,993.8141459,1137.850815,645.9932169,408.3795484,7.69E-05,447.1922993,2.121855529,954.3932669,4.528442536,465.6634203
iesm85_coupled,2030,8.466958549,12.44815019,-0.533305449,-3.447886202,1003.985411,1150.17653,647.3751652,404.8431514,7.38E-05,450.8059575,2.144122595,962.1054995,4.575964682,470.4292876
iesm85_coupled,2031,6.722591082,12.71035335,-2.789228842,-3.198533427,1011.212865,1162.755899,645.3359,401.5305005,7.19E-05,454.4797344,2.166839628,969.9460369,4.624447143,473.8157968
iesm85_coupled,2032,9.43932791,12.97272029,-0.273769454,-3.259622919,1019.160546,1175.597634,643.6353037,398.3370432,7.47E-05,458.2284135,2.190485642,977.9464297,4.674912226,477.539777
iesm85_coupled,2033,11.66909107,13.23508723,1.932209637,-3.498205787,1030.113809,1188.701735,644.8316728,394.9898358,7.44E-05,462.0700204,2.215260032,986.1451483,4.727785479,482.6720586
iesm85_coupled,2034,9.097757154,13.49745416,-0.727522181,-3.672174825,1040.174411,1202.068203,645.1438063,391.371836,7.21E-05,466.0176483,2.241121772,994.5701358,4.782979342,487.3860732
iesm85_coupled,2035,8.637805002,13.75992106,-1.510796595,-3.611319465,1049.002458,1215.69704,643.9977398,387.7171123,7.31E-05,470.0766642,2.268027416,1003.232846,4.840401093,491.5225592
iesm85_coupled,2036,11.19908884,14.02976566,0.74740623,-3.578083047,1059.011396,1229.592053,643.6559117,384.172866,7.47E-05,474.2474799,2.295942376,1012.134159,4.899976919,496.212366
iesm85_coupled,2037,9.172884793,14.29968098,-1.378551873,-3.748244316,1069.410674,1243.75698,643.6809948,380.3821344,6.82E-05,478.5255634,2.32481638,1021.264401,4.961599524,501.0850714
iesm85_coupled,2038,10.08467587,14.56959627,-1.063280137,-3.421640268,1078.635873,1258.191822,641.9736782,376.8798079,6.95E-05,482.9019042,2.354564047,1030.604343,5.025086695,505.407648
iesm85_coupled,2039,11.39387816,14.83951159,0.034107485,-3.47974092,1089.499796,1272.896579,641.6040384,373.4086124,6.89E-05,487.3693436,2.385095271,1040.138707,5.090246123,510.4980678
iesm85_coupled,2040,11.91123483,15.1093721,0.550583457,-3.748720733,1100.829672,1287.871251,641.5594475,369.8084073,7.02E-05,491.925593,2.416337695,1049.862608,5.156923387,515.8068158
iesm85_coupled,2041,12.14300187,15.37518073,0.662792902,-3.894971748,1113.212953,1303.113747,642.5347951,365.9738454,7.21E-05,496.5769076,2.448267559,1059.789397,5.225067778,521.6091494
iesm85_coupled,2042,12.16366345,15.64095068,0.233565014,-3.710852221,1125.118305,1318.622013,642.6720863,362.2336403,7.06E-05,501.3298102,2.480839834,1069.932993,5.294583197,527.1875436
iesm85_coupled,2043,10.82475021,15.90672062,-1.376049456,-3.705920947,1137.009234,1334.39605,642.5410901,358.4815286,6.90E-05,506.1855825,2.513947252,1080.296133,5.365240712,532.7591792
iesm85_coupled,2044,11.09911314,16.17249058,-1.226339836,-3.847037585,1147.812991,1350.435856,641.0697961,354.7167736,6.92E-05,511.153861,2.547547081,1090.899383,5.436949128,537.8214079
iesm85_coupled,2045,13.55407627,16.43827791,1.052441132,-3.936642778,1159.945102,1366.741432,640.8018821,350.8112228,7.12E-05,516.2482982,2.581656453,1101.771879,5.509745003,543.5060529
iesm85_coupled,2046,12.21795343,16.7053449,-0.451147262,-4.036244216,1172.963095,1383.313439,641.2621868,346.796904,6.82E-05,521.475913,2.616286252,1112.928601,5.583651568,549.6057881
iesm85_coupled,2047,11.31963949,16.97242426,-1.809910053,-3.842874706,1184.849902,1400.152525,640.2320833,342.8747282,6.62E-05,526.8383061,2.651452194,1124.372966,5.658702365,555.1754926
iesm85_coupled,2048,11.77638379,17.23950362,-1.605970288,-3.857149531,1196.100589,1417.258691,638.2043687,339.0469637,6.50E-05,532.3311489,2.687146466,1136.095736,5.734880718,560.4471353
