case,year,TREFHT_K,TS_K,PRECT_mmperyr,QREFHT_massfrac,RHREFHT_percent,LHFLX_Wperm2,SHFLX_Wperm2,FLNS_Wperm2,FLNT_Wperm2,FSNS_Wperm2,FSNT_Wperm2,FLDVG_Wperm2,FSDVG_Wperm2,RESTOM_Wperm2
iESM_coupled,2006,287.3484668,288.1460008,1113.447065,0.010170493,78.11311044,88.32105832,18.35605267,53.71734732,236.1992429,162.245488,237.1095623,-182.4818956,74.86407432,0.910319435
iESM_coupled,2007,287.425567,288.2214072,1108.111989,0.01012706,77.88147319,87.92647322,18.55897627,54.0120911,236.2802625,162.4720974,237.4107222,-182.2681714,74.93862485,1.130459702
iESM_coupled,2008,287.3934153,288.1801965,1116.656964,0.010165048,77.91322484,88.59954353,18.41228378,54.10486922,236.7199908,162.734916,237.5770356,-182.6151215,74.84211961,0.857044887
iESM_coupled,2009,287.3894942,288.1812952,1117.328971,0.010216421,78.16634517,88.56864236,18.42150832,53.61628904,236.4152265,162.4512078,237.3655459,-182.7989375,74.91433803,0.95031932
iESM_coupled,2010,287.4355,288.2269557,1112.470364,0.010156698,77.86234667,88.26226762,18.73345652,53.98868147,236.6531812,162.5573314,237.5335734,-182.6644997,74.97624196,0.880392233
iESM_coupled,2011,287.4240529,288.2147979,1107.746043,0.010122246,77.71613801,87.89609726,18.62836912,54.28841831,236.5721267,162.6777884,237.5841391,-182.2837084,74.90635069,1.01201237
iESM_coupled,2012,287.3762933,288.1619771,1107.712907,0.010113722,77.79337715,87.87519315,18.49904768,54.22739009,236.3520901,162.7649107,237.6910575,-182.1247,74.92614681,1.338967413
iESM_coupled,2013,287.4550316,288.2454091,1109.492255,0.010173034,77.90286951,88.04643273,18.51720578,54.0271056,236.3385225,162.8340888,237.7960007,-182.3114169,74.96191193,1.457478145
iESM_coupled,2014,287.5993863,288.386568,1116.021881,0.010269742,77.92677191,88.51421049,18.57692576,53.72458204,236.5999325,162.989704,238.0398667,-182.8753505,75.0501627,1.439934184
iESM_coupled,2015,287.7666322,288.5642864,1122.641938,0.010372421,77.95304383,89.08631636,18.41599853,53.62980089,236.9575596,163.1575937,238.1906089,-183.3277588,75.03301524,1.233049264
iESM_coupled,2016,287.8407199,288.6150815,1134.828664,0.010463108,78.11147567,89.99276897,18.13440878,53.02706186,237.3052936,162.4114027,237.7019244,-184.2782317,75.29052167,0.396630769
iESM_coupled,2017,287.5905613,288.3749237,1114.306912,0.010250295,77.95991841,88.37455663,18.22862816,53.68670775,236.2996814,162.7835065,237.8951683,-182.6129737,75.11166188,1.595486931
iESM_coupled,2018,287.656204,288.444931,1117.583985,0.010303636,77.98185433,88.66628165,18.40016455,53.81134797,236.6985314,163.0947573,238.0847517,-182.8871834,74.98999446,1.386220301
iESM_coupled,2019,287.7127919,288.4975654,1127.198136,0.010412713,78.08099778,89.43152646,18.3657245,53.13001433,236.8073973,162.5111328,237.6929717,-183.6773829,75.18183883,0.885574421
iESM_coupled,2020,287.7262848,288.5006666,1121.826264,0.010354379,78.02904374,88.93681889,18.24452729,53.4751124,236.7150474,162.7416155,237.930224,-183.239935,75.18860849,1.215176658
iESM_coupled,2021,287.6734717,288.4503016,1116.044305,0.010306555,77.99918059,88.54257553,18.26275472,53.52165202,236.3306626,162.8218834,238.0018421,-182.8090105,75.1799587,1.671179535
iESM_coupled,2022,287.8511844,288.632895,1118.762567,0.01039174,77.98383481,88.79432604,18.24551976,53.55870551,236.4092956,163.3266346,238.5154435,-182.8505901,75.18880889,2.106147848
iESM_coupled,2023,287.8820787,288.6519693,1122.496583,0.010445032,77.94035045,89.03592429,18.24559414,53.30171499,236.902661,162.7510755,238.2082777,-183.6009461,75.45720225,1.305616687
