case,year,DWT_CLOSS_PgCperyr,WOOD_HARVESTC_PgCperyr,DWT_PROD10C_GAIN_PgCperyr,DWT_PROD100C_GAIN_PgCperyr,NEE_PgCperyr,NPP_PgCperyr,COL_FIRE_CLOSS_PgCperyr,PROD10C_PgC_avg,PROD100C_PgC_avg,TOTVEGC_PgC_avg,TOTSOMC_PgC_avg,TOTECOSYSC_PgC_avg,PBOT_Pa,QBOT_massfrac,co2_ppmv
iesm45_coupled,2005,0.144325358,0.997540678,0.071243666,0.004271194,0.376124014,45.96177579,2.178901035,4.736538742,4.279921466,528.240321,511.9479416,1123.514896,91863.72896,0.006939147,406.786791
iesm45_coupled,2006,0.134195386,1.015526703,0.066373125,0.003963061,-0.934536195,47.03300242,1.956418112,4.663901535,4.268222986,527.4666996,512.4510167,1122.973852,91875.6777,0.006941491,409.7797524
iesm45_coupled,2007,0.132892084,1.069283979,0.065195465,0.003655279,-2.867038827,48.04008912,1.785962899,4.635228454,4.257756775,530.2470427,512.2591431,1125.19634,91843.94602,0.006896239,411.3943554
iesm45_coupled,2008,0.131848388,1.078910955,0.065002155,0.004286619,0.692589806,45.94447952,1.986885099,4.638179708,4.248625258,530.5074321,512.5471128,1126.445155,91873.01768,0.006904757,414.0755553
iesm45_coupled,2009,0.13151506,1.088208071,0.065656796,0.003786418,-0.126853024,46.36927253,2.192075995,4.648598404,4.240569033,529.9829885,512.9787767,1126.312965,91876.85307,0.007004924,416.6787154
iesm45_coupled,2010,0.18874333,1.101588501,0.095164525,0.004344772,-0.786961095,47.52266099,2.179513206,4.679706388,4.234235219,529.7199651,513.2944956,1126.287328,91855.33575,0.007011563,419.514647
iesm45_coupled,2011,0.193145541,1.110299938,0.096290628,0.004815375,-1.319047843,47.56878694,2.010411776,4.725686027,4.230388141,531.7215512,513.2511455,1127.919665,91855.50203,0.007016029,421.7760706
iesm45_coupled,2012,0.18735796,1.121884806,0.095423399,0.004071979,-0.148006754,46.58844409,2.072361645,4.770045236,4.228397604,531.4092487,513.5978696,1128.492482,91878.88037,0.007013473,424.4809313
iesm45_coupled,2013,0.181523077,1.139841265,0.092439338,0.00465399,1.589937625,45.53564667,2.6063309,4.814718035,4.229015551,529.9948663,513.9713067,1128.204738,91889.05617,0.007018514,427.5614924
iesm45_coupled,2014,0.190585832,1.149016207,0.097326875,0.004506513,-0.837344502,47.77118353,2.238643614,4.861035004,4.232133823,529.0243131,514.3254093,1127.176178,91901.90095,0.00715673,431.2126226
iesm45_coupled,2015,1.450022248,1.165856833,0.329520736,0.058880599,-1.077576576,48.55583259,1.922690267,5.017995332,4.263627573,530.691443,514.0071784,1128.396041,91846.89522,0.00705932,433.6377554
iesm45_coupled,2016,1.375667641,1.1474098,0.292279126,0.05421223,1.546602061,46.33059009,2.243319355,5.221375007,4.322254757,529.9855134,514.1012716,1128.512869,91860.80162,0.007022277,436.7406213
iesm45_coupled,2017,1.305045675,1.147162893,0.256646679,0.048776593,2.021861281,47.05266347,2.159087136,5.338170884,4.37996705,525.8182702,514.8715575,1125.942057,91872.7881,0.007078942,441.3229198
iesm45_coupled,2018,1.243603708,1.140632099,0.225246646,0.042196336,-1.43145027,48.50739562,2.147789185,5.392921728,4.436360699,527.3166281,514.6666382,1125.963204,91871.56938,0.00705033,443.9634999
iesm45_coupled,2019,1.114130623,1.122199757,0.189919056,0.032765576,-1.138909768,48.72402673,1.96104893,5.389560151,4.489349244,528.6469605,514.4679125,1127.065562,91839.39968,0.007034204,446.9681706
iesm45_coupled,2020,0.305848533,1.131493576,0.097180959,0.01757801,-2.158127972,48.35590852,2.084784351,5.317642654,4.537539308,531.3367322,514.197748,1129.117975,91871.31254,0.007020298,449.0332978
iesm45_coupled,2021,0.280309825,1.149768394,0.086533186,0.015963838,-1.732586082,48.60551139,2.04956987,5.220441814,4.584090464,532.9921495,514.2055698,1130.827857,91865.72198,0.007111897,451.5281594
iesm45_coupled,2022,0.258623588,1.163633617,0.076324055,0.013808487,-2.545695352,48.90544512,2.000688896,5.145196286,4.631282889,535.6507467,514.108288,1133.223355,91859.11415,0.007053059,454.1364215
iesm45_coupled,2023,0.231710457,1.181139949,0.064298951,0.01123855,-2.191471443,48.89700011,2.046592771,5.086216223,4.678320583,538.4366276,514.0634236,1135.922627,91861.35837,0.007140275,456.4697657
iesm45_coupled,2024,0.208485553,1.201285022,0.058492292,0.009254061,-2.106495176,49.20387235,1.99669358,5.045219653,4.725744025,539.7690421,514.3517825,1137.603395,91883.54421,0.007203428,459.4152126
iesm45_coupled,2025,0.335913198,1.226739191,0.126034621,0.01947486,-1.608774123,48.88082673,2.195295513,5.057999972,4.780603165,542.1346871,514.366113,1140.110866,91886.33102,0.00730213,462.0066185
