case,year,spC_PgC_avg,diatC_PgC_avg,zooC_PgC_avg,diazC_PgC_avg,spCaCO3C_PgC_avg,particulate_oC_PgC_avg,particulate_CaCO3_PgC_avg,DOC_PgC_avg,DIC_PgC_avg,H2CO3_PgC_avg,HCO3_PgC_avg,CO3_PgC_avg,CO2STAR_PgC_avg,DCO2STAR_PgC_avg,FG_CO2_PgCperyr_avg,ATM_CO2_ppmv_avg
iESM85_coupled,2006,7.272055176,6.76664843,9.896043795,0.604176174,0.235273648,6.076451895,0.585411816,9.315583907,36591.80799,465.8496506,34615.42166,1510.536532,63.68603147,2.162816619,2.329608362,400.1678982
iESM85_coupled,2007,7.266182709,6.729153657,9.922202028,0.599291943,0.238280617,17.58638984,1.708864067,9.398618144,36594.00786,466.2967402,34618.34591,1509.365102,63.85869353,2.211540491,2.399077557,402.2948735
iESM85_coupled,2008,7.350842371,6.522530015,9.917871205,0.612040584,0.244620462,28.88400548,2.834564227,9.375361532,36596.44041,466.729812,34621.64469,1508.065783,64.28563273,2.209698817,2.381771863,404.963547
iESM85_coupled,2009,7.339827673,6.672291375,9.910836055,0.608938478,0.240126385,40.19197894,3.960662234,9.368359644,36598.92071,467.1642708,34625.01231,1506.744009,64.63316168,2.201833862,2.467187076,407.0938538
iESM85_coupled,2010,7.301400819,6.659055138,9.923629979,0.600213824,0.241499082,51.67560266,5.095968041,9.425635508,36601.25992,467.6394731,34628.11366,1505.50669,64.91492226,2.2204898,2.454085499,409.119528
iESM85_coupled,2011,7.429169093,6.471821023,9.950717161,0.603481347,0.251180903,63.03801676,6.253007009,9.427696179,36603.72158,468.1111841,34631.42186,1504.188375,65.46494144,2.234195215,2.484433041,412.2331185
iESM85_coupled,2012,7.304164874,6.688318486,9.94876,0.610627385,0.240741966,74.52737656,7.397623785,9.472797087,36606.18337,468.5855974,34634.70307,1502.894535,66.01427546,2.16237614,2.480236349,414.366908
iESM85_coupled,2013,7.343022399,6.689125434,9.919808596,0.609758009,0.246417946,86.02988955,8.548062113,9.476957751,36608.61522,469.0787247,34637.90826,1501.628096,66.18957809,2.284954849,2.518003752,416.8468923
iESM85_coupled,2014,7.311741586,6.588526542,9.864280098,0.605437028,0.241345324,97.51423926,9.684827436,9.431129006,36611.26118,469.6180379,34641.42195,1500.221014,66.33771684,2.38871077,2.650166202,419.9564457
iESM85_coupled,2015,7.368395428,6.410716905,9.857665668,0.603136664,0.249229798,108.7531521,10.80912476,9.371513831,36614.0522,470.1362942,34645.20275,1498.712975,66.62634513,2.512893948,2.841816997,423.0456347
iesm85_uncoupled,2006,7.321793689,6.595501481,9.931390903,0.608372582,0.242604045,6.124385129,0.60431318,9.419574926,36591.44326,465.8226696,34614.85444,1510.765913,63.57039484,2.16363454,2.386267828,399.766243
iesm85_uncoupled,2007,7.407242853,6.511027564,9.864052646,0.610593523,0.249595656,17.40175562,1.751303742,9.344788635,36593.99561,466.2791885,34618.35001,1509.366196,63.5933461,2.244101954,2.507760636,402.072393
iesm85_uncoupled,2008,7.230729599,6.873789948,9.910947906,0.601581415,0.233538023,28.87413753,2.878739027,9.408921862,36596.42381,466.7524616,34621.56346,1508.107746,64.26163486,2.262714708,2.469674785,404.801195
iesm85_uncoupled,2009,7.378771549,6.607558717,9.950704983,0.611289053,0.243574548,40.40690871,4.000829642,9.442256134,36598.7116,467.2118981,34624.5984,1506.901123,64.77947357,2.105371559,2.207540805,406.284323
iesm85_uncoupled,2010,7.321190004,6.687260896,9.959967247,0.61737472,0.237163494,51.88321454,5.13757967,9.479255282,36600.95122,467.6344038,34627.61373,1505.702932,65.09250156,2.113589854,2.402146711,408.8535742
iesm85_uncoupled,2011,7.304457783,6.743107754,9.959949015,0.609036975,0.239837063,63.38524187,6.267051052,9.486697937,36603.33822,468.0908572,34630.81363,1504.433678,65.53079659,2.11289045,2.38065952,411.6781779
iesm85_uncoupled,2012,7.342414247,6.666487845,9.979542061,0.600875794,0.242639048,74.96658721,7.405343991,9.520049032,36605.675,468.5816215,34633.88285,1503.210319,65.84254885,2.069696158,2.501468327,414.001607
iesm85_uncoupled,2013,7.253159085,6.77960856,9.938385044,0.601463534,0.232145919,86.54900019,8.523999795,9.500780398,36608.17723,469.0912168,34637.17709,1501.908818,66.44837516,1.919969538,2.452895985,416.6690581
