Region,Scenario,Variable,Unit,2000,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
World,AIM - RCP 6.0,CO2 emissions - Fossil fuels and Industry,PgC/yr,6.735,7.971,8.512,8.95,9.995,11.554,13.044,14.824,16.506,17.281,14.313,13.753
World,MiniCAM - RCP 4.5,CO2 emissions - Fossil fuels and Industry,PgC/yr,6.735,7.971,8.607,9.872,10.953,11.338,11.031,9.401,7.118,4.182,4.193,4.203
World,IMAGE - RCP3-PD (2.6),CO2 emissions - Fossil fuels and Industry,PgC/yr,6.735,7.971,8.821,9.288,7.157,4.535,3.186,1.419,0.116,-0.433,-0.87,-0.931
World,MESSAGE - RCP 8.5,CO2 emissions - Fossil fuels and Industry,PgC/yr,6.735,7.971,8.926,11.538,13.839,16.787,20.205,23.596,25.962,27.406,28.337,28.74
World,AIM - RCP 6.0,Concentration - CO2,ppm,368.865,378.812,389.072,409.36,428.876,450.698,477.67,510.634,549.82,594.257,635.649,669.723
World,MiniCAM - RCP 4.5,Concentration - CO2,ppm,368.865,378.812,389.128,411.129,435.046,460.845,486.535,508.871,524.302,531.138,533.741,538.358
World,IMAGE - RCP3-PD (2.6),Concentration - CO2,ppm,368.865,378.812,389.285,412.068,430.783,440.222,442.7,441.673,437.481,431.617,426.005,420.895
World,MESSAGE - RCP 8.5,Concentration - CO2,ppm,368.865,378.812,389.324,415.78,448.835,489.435,540.543,603.52,677.078,758.182,844.805,935.874
World,AIM - RCP 6.0,Forcing - Total,W/m2,1.723,1.901,2.089,2.48,2.854,3.146,3.521,3.905,4.443,4.932,5.255,5.481
World,MiniCAM - RCP 4.5,Forcing - Total,W/m2,1.723,1.905,2.126,2.579,3.005,3.411,3.766,4.021,4.188,4.256,4.265,4.309
World,IMAGE - RCP3-PD (2.6),Forcing - Total,W/m2,1.723,1.904,2.129,2.584,2.862,2.999,2.998,2.918,2.854,2.808,2.759,2.714
World,MESSAGE - RCP 8.5,Forcing - Total,W/m2,1.723,1.906,2.154,2.665,3.276,3.993,4.762,5.539,6.299,7.02,7.742,8.388
