"region","x","year"
"AFR",2147026.70898422,2005
"ASIA",7208560.25545433,2005
"AUS",743301.103289021,2005
"EUR",1774672.39904236,2005
"LAM",1276578.7268732,2005
"NAM",2646756.99944947,2005
"WORLD",15585679.2905529,2005
"AFR",2151988.62490426,2006
"ASIA",7221636.35522647,2006
"AUS",745703.264182232,2006
"EUR",1778977.79076354,2006
"LAM",1285820.17371696,2006
"NAM",2660343.51784912,2006
"WORLD",15633275.7722781,2006
"AFR",2156950.77581456,2007
"ASIA",7234712.31252692,2007
"AUS",748105.36015458,2007
"EUR",1783283.29967831,2007
"LAM",1295061.72546651,2007
"NAM",2673930.12627145,2007
"WORLD",15680872.6133781,2007
"AFR",2161912.76382521,2008
"ASIA",7247788.29906173,2008
"AUS",750507.575571096,2008
"EUR",1787588.74388893,2008
"LAM",1304303.09514837,2008
"NAM",2687516.70740449,2008
"WORLD",15728469.1806981,2008
"AFR",2166874.59411884,2009
"ASIA",7260864.44579451,2009
"AUS",752909.791748168,2009
"EUR",1791894.20816813,2009
"LAM",1313544.48383745,2009
"NAM",2701103.24110961,2009
"WORLD",15776065.6333567,2009
"AFR",2171836.55194937,2010
"ASIA",7273940.51393532,2010
"AUS",755311.928743024,2010
"EUR",1796199.60813102,2010
"LAM",1322786.11045138,2010
"NAM",2714689.71865913,2010
"WORLD",15823662.2421865,2010
"AFR",2167753.93417574,2011
"ASIA",7283475.51090518,2011
"AUS",752309.186619181,2011
"EUR",1792357.26688061,2011
"LAM",1302264.24542087,2011
"NAM",2703548.40593787,2011
"WORLD",15790777.7356848,2011
"AFR",2163670.98454397,2012
"ASIA",7293010.43446517,2012
"AUS",749306.610811594,2012
"EUR",1788514.78169068,2012
"LAM",1281742.46807176,2012
"NAM",2692407.16058145,2012
"WORLD",15757893.096156,2012
"AFR",2159588.33417684,2013
"ASIA",7302545.311715,2013
"AUS",746303.944037981,2013
"EUR",1784672.27617307,2013
"LAM",1261220.92018539,2013
"NAM",2681265.82118249,2013
"WORLD",15725008.5797858,2013
"AFR",2155505.60047531,2014
"ASIA",7312080.7330911,2014
"AUS",743301.216518656,2014
"EUR",1780829.89030373,2014
"LAM",1240699.03451097,2014
"NAM",2670124.57208285,2014
"WORLD",15692124.3717017,2014
"AFR",2151422.92516544,2015
"ASIA",7321615.77966552,2015
"AUS",740298.481636152,2015
"EUR",1776987.3590416,2015
"LAM",1220177.21625506,2015
"NAM",2658983.21950727,2015
"WORLD",15659239.6552137,2015
"AFR",2147340.21083476,2016
"ASIA",7331150.86934471,2016
"AUS",737295.874325873,2016
"EUR",1773144.95925489,2016
"LAM",1199655.42109001,2016
"NAM",2647841.87234018,2016
"WORLD",15626355.2246129,2016
"AFR",2143257.4584567,2017
"ASIA",7340685.92732839,2017
"AUS",734293.288696887,2017
"EUR",1769302.43029611,2017
"LAM",1179133.69963789,2017
"NAM",2636700.69217464,2017
"WORLD",15593470.8607306,2017
"AFR",2139174.81004339,2018
"ASIA",7350221.12455039,2018
"AUS",731290.543553071,2018
"EUR",1765460.02149382,2018
"LAM",1158611.8985634,2018
"NAM",2625559.3560303,2018
"WORLD",15560586.4392079,2018
"AFR",2135092.06698021,2019
"ASIA",7359756.3524432,2019
"AUS",728287.834566119,2019
"EUR",1761617.46698563,2019
"LAM",1138090.13603842,2019
"NAM",2614418.01586205,2019
"WORLD",15527701.8991682,2019
"AFR",2131009.31770752,2020
"ASIA",7369291.39253377,2020
"AUS",725285.121353229,2020
"EUR",1757775.0793596,2020
"LAM",1117568.26008608,2020
"NAM",2603276.85241257,2020
"WORLD",15494817.5001859,2020
"AFR",2135361.40841574,2021
"ASIA",7381860.91571792,2021
"AUS",734456.342056945,2021
"EUR",1758286.96091251,2021
"LAM",1153377.49723072,2021
"NAM",2608663.67306854,2021
"WORLD",15563173.3413889,2021
"AFR",2139713.56074861,2022
"ASIA",7394430.18709062,2022
"AUS",743627.569484656,2022
"EUR",1758798.80361668,2022
"LAM",1189186.53500266,2022
"NAM",2614050.60170865,2022
"WORLD",15631528.8218618,2022
"AFR",2144065.45935669,2023
"ASIA",7406999.75515215,2023
"AUS",752798.747000625,2023
"EUR",1759310.67617934,2023
"LAM",1224995.5397814,2023
"NAM",2619437.58351447,2023
"WORLD",15699884.3864398,2023
"AFR",2148417.66033645,2024
"ASIA",7419569.27001523,2024
"AUS",761969.959734373,2024
"EUR",1759822.53738975,2024
"LAM",1260804.51383194,2024
"NAM",2624824.43820613,2024
"WORLD",15768240.1091564,2024
"AFR",2152769.66145152,2025
"ASIA",7432138.91431118,2025
"AUS",771141.083424025,2025
"EUR",1760334.39313167,2025
"LAM",1296613.76021476,2025
"NAM",2630211.37776644,2025
"WORLD",15836596.0120264,2025
"AFR",2157121.7306456,2026
"ASIA",7444708.25029811,2026
"AUS",780312.348922516,2026
"EUR",1760846.26807592,2026
"LAM",1332422.63187247,2026
"NAM",2635598.40145793,2026
"WORLD",15904951.5299089,2026
"AFR",2161473.86056343,2027
"ASIA",7457277.65151379,2027
"AUS",789483.644059916,2027
"EUR",1761358.13006259,2027
"LAM",1368231.76395951,2027
"NAM",2640985.35973845,2027
"WORLD",15973307.3996585,2027
"AFR",2165825.980579,2028
"ASIA",7469847.28188287,2028
"AUS",798654.680727351,2028
"EUR",1761870.0402646,2028
"LAM",1404040.79714376,2028
"NAM",2646372.15226322,2028
"WORLD",16041663.0440346,2028
"AFR",2170177.9927294,2029
"ASIA",7482416.86991163,2029
"AUS",807826.002353087,2029
"EUR",1762381.85542585,2029
"LAM",1439849.94083425,2029
"NAM",2651759.10118203,2029
"WORLD",16110018.8874494,2029
"AFR",2174529.95327187,2030
"ASIA",7494986.11149029,2030
"AUS",816997.112214907,2030
"EUR",1762893.7308423,2030
"LAM",1475658.80130003,2030
"NAM",2657146.13582564,2030
"WORLD",16178374.1177909,2030
"AFR",2166522.12272756,2031
"ASIA",7506590.11257476,2031
"AUS",817085.563356721,2031
"EUR",1762901.67976397,2031
"LAM",1480684.20372173,2031
"NAM",2661114.34543979,2031
"WORLD",16192217.0961755,2031
"AFR",2158514.35536632,2032
"ASIA",7518193.71932571,2032
"AUS",817174.179945958,2032
"EUR",1762909.44443762,2032
"LAM",1485709.47639706,2032
"NAM",2665082.55851323,2032
"WORLD",16206059.6483534,2032
"AFR",2150506.33996914,2033
"ASIA",7529797.35988209,2033
"AUS",817262.564463581,2033
"EUR",1762917.35559472,2033
"LAM",1490734.66450208,2033
"NAM",2669050.85308318,2033
"WORLD",16219901.9536733,2033
"AFR",2142498.63584999,2034
"ASIA",7541401.22245775,2034
"AUS",817351.157600124,2034
"EUR",1762925.24350717,2034
"LAM",1495759.75381402,2034
"NAM",2673019.13348601,2034
"WORLD",16233744.7244736,2034
"AFR",2134490.75868385,2035
"ASIA",7553005.308982,2035
"AUS",817439.58401048,2035
"EUR",1762933.05542935,2035
"LAM",1500785.04803813,2035
"NAM",2676987.18120516,2035
"WORLD",16247587.380562,2035
"AFR",2126482.83264576,2036
"ASIA",7564608.64124612,2036
"AUS",817528.079716887,2036
"EUR",1762940.88111879,2036
"LAM",1505810.29691404,2036
"NAM",2680955.55416801,2036
"WORLD",16261429.5672173,2036
"AFR",2118475.0112399,2037
"ASIA",7576212.53688947,2037
"AUS",817616.445061747,2037
"EUR",1762948.70826136,2037
"LAM",1510835.58921252,2037
"NAM",2684923.79815262,2037
"WORLD",16275272.2809792,2037
"AFR",2110467.2415553,2038
"ASIA",7587816.41589825,2038
"AUS",817705.116560631,2038
"EUR",1762956.65520155,2038
"LAM",1515860.79548367,2038
"NAM",2688892.13385607,2038
"WORLD",16289115.3565911,2038
"AFR",2102459.375313,2039
"ASIA",7599419.94366492,2039
"AUS",817793.527985824,2039
"EUR",1762964.4504673,2039
"LAM",1520886.16972549,2039
"NAM",2692860.37066435,2039
"WORLD",16302957.6822197,2039
"AFR",2094451.42432008,2040
"ASIA",7611023.71381528,2040
"AUS",817881.981606596,2040
"EUR",1762972.34645557,2040
"LAM",1525911.22313435,2040
"NAM",2696828.61557977,2040
"WORLD",16316800.0743688,2040
"AFR",2089831.2020406,2041
"ASIA",7629638.70276285,2041
"AUS",817434.834045696,2041
"EUR",1763572.14084823,2041
"LAM",1530399.89930285,2041
"NAM",2701212.80746131,2041
"WORLD",16340484.8066566,2041
"AFR",2085210.80418879,2042
"ASIA",7648252.97463064,2042
"AUS",816987.634774908,2042
"EUR",1764171.96624697,2042
"LAM",1534888.46894988,2042
"NAM",2705596.82741478,2042
"WORLD",16364168.4349697,2042
"AFR",2080590.50643394,2043
"ASIA",7666867.76674568,2043
"AUS",816540.403916303,2043
"EUR",1764771.82937173,2043
"LAM",1539377.19132397,2043
"NAM",2709981.08977766,2043
"WORLD",16387853.0551812,2043
"AFR",2075969.97555818,2044
"ASIA",7685482.50676231,2044
"AUS",816093.283407772,2044
"EUR",1765371.66826497,2044
"LAM",1543865.67356652,2044
"NAM",2714365.3778772,2044
"WORLD",16411537.434571,2044
"AFR",2071349.53272311,2045
"ASIA",7704097.12524648,2045
"AUS",815645.985097081,2045
"EUR",1765971.47708299,2045
"LAM",1548354.30215287,2045
"NAM",2718749.49258444,2045
"WORLD",16435221.3247967,2045
"AFR",2066729.13177854,2046
"ASIA",7722711.90092681,2046
"AUS",815198.879664184,2046
"EUR",1766571.32712804,2046
"LAM",1552842.93537734,2046
"NAM",2723133.79391246,2046
"WORLD",16458906.045876,2046
"AFR",2062108.86955519,2047
"ASIA",7741326.31705332,2047
"AUS",814751.68980062,2047
"EUR",1767171.16191653,2047
"LAM",1557331.45534127,2047
"NAM",2727517.80070507,2047
"WORLD",16482589.8487367,2047
"AFR",2057488.40428162,2048
"ASIA",7759940.90271137,2048
"AUS",814304.469305229,2048
"EUR",1767770.92307225,2048
"LAM",1561819.9139985,2048
"NAM",2731902.02156812,2048
"WORLD",16506273.7105198,2048
"AFR",2052868.15852157,2049
"ASIA",7778555.62376793,2049
"AUS",813857.310681884,2049
"EUR",1768370.77559337,2049
"LAM",1566308.48381896,2049
"NAM",2736286.164176,2049
"WORLD",16529958.2385111,2049
"AFR",2048247.67709703,2050
"ASIA",7797170.34371161,2050
"AUS",813410.135490282,2050
"EUR",1768970.63606769,2050
"LAM",1570797.25657476,2050
"NAM",2740670.4829032,2050
"WORLD",16553642.760295,2050
"AFR",2058099.54092639,2051
"ASIA",7818626.39735149,2051
"AUS",813322.408930758,2051
"EUR",1771001.14040013,2051
"LAM",1575180.4817382,2051
"NAM",2748366.94938124,2051
"WORLD",16597712.1912787,2051
"AFR",2067950.75662785,2052
"ASIA",7840082.44392505,2052
"AUS",813234.568141144,2052
"EUR",1773031.72057324,2052
"LAM",1579563.80531087,2052
"NAM",2756063.50937721,2052
"WORLD",16641781.2567526,2052
"AFR",2077802.51740704,2053
"ASIA",7861538.45944066,2053
"AUS",813146.78961853,2053
"EUR",1775062.26383962,2053
"LAM",1583947.09504153,2053
"NAM",2763759.97740793,2053
"WORLD",16685850.6612164,2053
"AFR",2087653.96603205,2054
"ASIA",7882994.68750651,2054
"AUS",813058.937098127,2054
"EUR",1777092.88328206,2054
"LAM",1588330.41508408,2054
"NAM",2771456.34957122,2054
"WORLD",16729919.8916916,2054
"AFR",2097505.57636996,2055
"ASIA",7904450.81022197,2055
"AUS",812971.190272239,2055
"EUR",1779123.45001925,2055
"LAM",1592713.84471134,2055
"NAM",2779152.89918911,2055
"WORLD",16773989.512397,2055
"AFR",2107357.00584697,2056
"ASIA",7925906.74843009,2056
"AUS",812883.358179971,2056
"EUR",1781154.01025445,2056
"LAM",1597096.93244321,2056
"NAM",2786849.29864609,2056
"WORLD",16818058.1409938,2056
"AFR",2117208.59323646,2057
"ASIA",7947362.7711461,2057
"AUS",812795.616057971,2057
"EUR",1783184.54977837,2057
"LAM",1601480.39838268,2057
"NAM",2794545.85767413,2057
"WORLD",16862127.7223471,2057
"AFR",2127060.29782686,2058
"ASIA",7968818.91675746,2058
"AUS",812707.798641429,2058
"EUR",1785215.07374209,2058
"LAM",1605863.63276909,2058
"NAM",2802242.27912769,2058
"WORLD",16906196.9987127,2058
"AFR",2136911.63098241,2059
"ASIA",7990274.83550451,2059
"AUS",812620.005376663,2059
"EUR",1787245.65170931,2059
"LAM",1610246.9239062,2059
"NAM",2809938.65166246,2059
"WORLD",16950265.8821527,2059
"AFR",2146763.2744846,2060
"ASIA",8011731.10442022,2060
"AUS",812532.293170196,2060
"EUR",1789276.1569759,2060
"LAM",1614630.27894862,2060
"NAM",2817635.19358109,2060
"WORLD",16994335.455117,2060
"AFR",2153939.14400517,2061
"ASIA",8034607.81655404,2061
"AUS",814482.169293557,2061
"EUR",1791970.20090429,2061
"LAM",1619854.11799725,2061
"NAM",2828782.22704652,2061
"WORLD",17044727.2764421,2061
"AFR",2161115.07648864,2062
"ASIA",8057484.7927829,2062
"AUS",816432.100090444,2062
"EUR",1794664.31465998,2062
"LAM",1625078.08718352,2062
"NAM",2839929.3822087,2062
"WORLD",17095119.648684,2062
"AFR",2168290.70193406,2063
"ASIA",8080361.826156,2063
"AUS",818382.049967734,2063
"EUR",1797358.19371793,2063
"LAM",1630301.90819383,2063
"NAM",2851076.38394827,2063
"WORLD",17145511.3247985,2063
"AFR",2175466.71241962,2064
"ASIA",8103238.49550876,2064
"AUS",820331.894714365,2064
"EUR",1800052.27306184,2064
"LAM",1635525.85025145,2064
"NAM",2862223.35285118,2064
"WORLD",17195903.2224095,2064
"AFR",2182642.42057693,2065
"ASIA",8126115.62335783,2065
"AUS",822281.871858575,2065
"EUR",1802746.25969763,2065
"LAM",1640749.65703444,2065
"NAM",2873370.53807122,2065
"WORLD",17246295.3282309,2065
"AFR",2189818.37346141,2066
"ASIA",8148992.50926861,2066
"AUS",824231.797868162,2066
