"region","x","year"
"AFR",2151262.3461474,2006
"ASIA",7124131.48417762,2006
"AUS",712143.413372879,2006
"EUR",1679664.81245956,2006
"LAM",1265851.95634266,2006
"NAM",2582766.55142986,2006
"WORLD",15175628.9446242,2006
"AFR",2169867.80935906,2007
"ASIA",7145668.93923345,2007
"AUS",713532.552497264,2007
"EUR",1681888.40199872,2007
"LAM",1272350.76313712,2007
"NAM",2588808.4328626,2007
"WORLD",15228007.1251521,2007
"AFR",2188473.27541331,2008
"ASIA",7167206.45523703,2008
"AUS",714921.755952224,2008
"EUR",1684111.96218536,2008
"LAM",1278849.71506719,2008
"NAM",2594850.29384667,2008
"WORLD",15280385.5698427,2008
"AFR",2207078.74425109,2009
"ASIA",7188743.92585308,2009
"AUS",716310.925714366,2009
"EUR",1686335.54970499,2009
"LAM",1285348.51579443,2009
"NAM",2600892.16916268,2009
"WORLD",15332763.7663236,2009
"AFR",2225684.08901456,2010
"ASIA",7210281.31705058,2010
"AUS",717700.057153843,2010
"EUR",1688559.18656888,2010
"LAM",1291847.38615738,2010
"NAM",2606934.09657401,2010
"WORLD",15385141.9352393,2010
"AFR",2238431.57403113,2011
"ASIA",7222310.57067025,2011
"AUS",721434.182640112,2011
"EUR",1687417.71962067,2011
"LAM",1297143.64900311,2011
"NAM",2613708.12666216,2011
"WORLD",15421387.8511124,2011
"AFR",2251178.72189244,2012
"ASIA",7234339.74324425,2012
"AUS",725168.300591423,2012
"EUR",1686276.24945191,2012
"LAM",1302439.96396291,2012
"NAM",2620482.1463047,2012
"WORLD",15457633.345463,2012
"AFR",2263925.6981197,2013
"ASIA",7246368.67589856,2013
"AUS",728902.467543147,2013
"EUR",1685134.80614201,2013
"LAM",1307736.19618212,2013
"NAM",2627256.1412626,2013
"WORLD",15493878.5804676,2013
"AFR",2276672.63753698,2014
"ASIA",7258397.63201873,2014
"AUS",732636.506171515,2014
"EUR",1683993.33045748,2014
"LAM",1313032.45435693,2014
"NAM",2634030.158795,2014
"WORLD",15530123.6663711,2014
"AFR",2289419.79925929,2015
"ASIA",7270426.76536667,2015
"AUS",736370.710552975,2015
"EUR",1682851.75435087,2015
"LAM",1318328.72524748,2015
"NAM",2640804.13091819,2015
"WORLD",15566369.1650163,2015
"AFR",2126269.41675577,2016
"ASIA",7177464.64569733,2016
"AUS",736110.83798566,2016
"EUR",1663274.52896945,2016
"LAM",1310801.19791219,2016
"NAM",2594659.63242545,2016
"WORLD",15262222.1441289,2016
"AFR",1963118.84576252,2017
"ASIA",7084502.55327009,2017
"AUS",735851.050368626,2017
"EUR",1643697.29381386,2017
"LAM",1303273.5354033,2017
"NAM",2548515.22452685,2017
"WORLD",14958075.1446296,2017
"AFR",1799968.2214355,2018
"ASIA",6991540.29690823,2018
"AUS",735591.219275327,2018
"EUR",1624119.97058435,2018
"LAM",1295746.0379907,2018
"NAM",2502370.69475716,2018
"WORLD",14653927.9025444,2018
"AFR",1636817.74227477,2019
"ASIA",6898578.36502507,2019
"AUS",735331.486958687,2019
"EUR",1604542.74630007,2019
"LAM",1288218.42896774,2019
"NAM",2456226.28622145,2019
"WORLD",14349781.1930076,2019
"AFR",1473667.27689689,2020
"ASIA",6805616.3445997,2020
