"region","x","year"
"AFR",2151262.3461474,2006
"ASIA",7124131.48417762,2006
"AUS",712143.413372879,2006
"EUR",1679664.81245956,2006
"LAM",1265851.95634266,2006
"NAM",2582766.55142986,2006
"WORLD",15175628.9446242,2006
"AFR",2169867.80935906,2007
"ASIA",7145668.93923345,2007
"AUS",713532.552497264,2007
"EUR",1681888.40199872,2007
"LAM",1272350.76313712,2007
"NAM",2588808.4328626,2007
"WORLD",15228007.1251521,2007
"AFR",2188473.27541331,2008
"ASIA",7167206.45523703,2008
"AUS",714921.755952224,2008
"EUR",1684111.96218536,2008
"LAM",1278849.71506719,2008
"NAM",2594850.29384667,2008
"WORLD",15280385.5698427,2008
"AFR",2207078.74425109,2009
"ASIA",7188743.92585308,2009
"AUS",716310.925714366,2009
"EUR",1686335.54970499,2009
"LAM",1285348.51579443,2009
"NAM",2600892.16916268,2009
"WORLD",15332763.7663236,2009
"AFR",2225684.08901456,2010
"ASIA",7210281.31705058,2010
"AUS",717700.057153843,2010
"EUR",1688559.18656888,2010
"LAM",1291847.38615738,2010
"NAM",2606934.09657401,2010
"WORLD",15385141.9352393,2010
"AFR",2243968.59880028,2011
"ASIA",7227921.51493951,2011
"AUS",721985.047322324,2011
"EUR",1690143.67168468,2011
"LAM",1299960.95565343,2011
"NAM",2611097.13431665,2011
"WORLD",15434696.312661,2011
"AFR",2262253.05372552,2012
"ASIA",7245561.58694325,2012
"AUS",726270.021613178,2012
"EUR",1691728.190249,2012
"LAM",1308074.5196552,2012
"NAM",2615260.16121521,2012
"WORLD",15484250.4751497,2012
"AFR",2280537.4279233,2013
"ASIA",7263201.82334016,2013
"AUS",730554.977490221,2013
"EUR",1693312.66883453,2013
"LAM",1316188.11561132,2013
"NAM",2619423.20976695,2013
"WORLD",15533804.7806794,2013
"AFR",2298821.60313108,2014
"ASIA",7280841.84679011,2014
"AUS",734839.894401349,2014
"EUR",1694897.19015498,2014
"LAM",1324301.61131159,2014
"NAM",2623586.26216434,2014
"WORLD",15583358.6426132,2014
"AFR",2317105.76490661,2015
"ASIA",7298482.03858641,2015
"AUS",739124.791481568,2015
"EUR",1696481.634224,2015
"LAM",1332415.16661395,2015
"NAM",2627749.27645263,2015
"WORLD",15632912.5932325,2015
"AFR",2149670.73732087,2016
"ASIA",7208082.36647124,2016
"AUS",737823.236054422,2016
"EUR",1684612.5308117,2016
"LAM",1326549.14028396,2016
"NAM",2584996.29452598,2016
"WORLD",15339755.3357961,2016
"AFR",1982235.7454865,2017
"ASIA",7117683.30403642,2017
"AUS",736521.634710452,2017
"EUR",1672743.5413324,2017
"LAM",1320682.97817872,2017
"NAM",2542243.51037557,2017
"WORLD",15046598.7228015,2017
"AFR",1814800.58412012,2018
"ASIA",7027283.77714248,2018
"AUS",735219.939457355,2018
"EUR",1660874.4613618,2018
"LAM",1314816.97756078,2018
"NAM",2499490.53813427,2018
"WORLD",14753441.3709454,2018
"AFR",1647365.52597425,2019
"ASIA",6936884.53478626,2019
"AUS",733918.326317677,2019
"EUR",1649005.37250617,2019
"LAM",1308950.83190811,2019
"NAM",2456737.66499012,2019
"WORLD",14460284.4288121,2019
"AFR",1479930.52999438,2020
"ASIA",6846485.09046955,2020
