"region","x","year"
"AFR",2148318.61971992,2006
"ASIA",7118129.02187455,2006
"AUS",711776.832246407,2006
"EUR",1678072.85489272,2006
"LAM",1264596.29218745,2006
"NAM",2579850.27965172,2006
"WORLD",15161285.9695659,2006
"AFR",2163980.23948603,2007
"ASIA",7133664.47794242,2007
"AUS",712801.056192134,2007
"EUR",1678704.36440169,2007
"LAM",1269839.53103645,2007
"NAM",2582976.07595601,2007
"WORLD",15199323.4136461,2007
"AFR",2179641.85102546,2008
"ASIA",7149199.54710664,2008
"AUS",713823.911889472,2008
"EUR",1679336.00336573,2008
"LAM",1275082.7017886,2008
"NAM",2586101.672229,2008
"WORLD",15237358.9371723,2008
"AFR",2195303.46722259,2009
"ASIA",7164734.52476526,2009
"AUS",714847.17225915,2009
"EUR",1679967.6246948,2009
"LAM",1280325.87423961,2009
"NAM",2589227.39549513,2009
"WORLD",15275394.8842663,2009
"AFR",2210965.20422873,2010
"ASIA",7180269.50217617,2010
"AUS",715870.593250802,2010
"EUR",1680599.23465519,2010
"LAM",1285569.07211325,2010
"NAM",2592353.08766283,2010
"WORLD",15313431.085808,2010
"AFR",2232539.86384037,2011
"ASIA",7200370.26357751,2011
"AUS",719235.883185182,2011
"EUR",1688574.5078855,2011
"LAM",1291223.1048357,2011
"NAM",2594890.60205581,2011
"WORLD",15369748.0277053,2011
"AFR",2254114.71754813,2012
"ASIA",7220471.67065121,2012
"AUS",722601.081447801,2012
"EUR",1696549.84562968,2012
"LAM",1296877.17661532,2012
"NAM",2597428.07438124,2012
"WORLD",15426065.7963548,2012
"AFR",2275689.24949329,2013
"ASIA",7240572.43520985,2013
"AUS",725966.29665246,2013
"EUR",1704525.09575732,2013
"LAM",1302531.19409953,2013
"NAM",2599965.49940737,2013
"WORLD",15482382.5265441,2013
"AFR",2304335.30031286,2014
"ASIA",7287944.64535508,2014
"AUS",738491.949147484,2014
"EUR",1696507.72184591,2014
"LAM",1327607.0856552,2014
"NAM",2621898.21473521,2014
"WORLD",15601104.3601462,2014
"AFR",2327677.79689063,2015
"ASIA",7314863.53957436,2015
"AUS",744147.373085387,2015
"EUR",1700484.811899,2015
"LAM",1338116.59988319,2015
"NAM",2629284.57115275,2015
"WORLD",15673022.8728076,2015
"AFR",2354564.46532696,2016
"ASIA",7346466.25651593,2016
"AUS",750488.979218598,2016
"EUR",1708847.37551845,2016
"LAM",1351267.76011536,2016
"NAM",2636788.69822982,2016
"WORLD",15758333.8094037,2016
"AFR",2381451.30516045,2017
"ASIA",7378068.85817357,2017
"AUS",756830.692959728,2017
"EUR",1717209.92075353,2017
"LAM",1364419.10802492,2017
"NAM",2644292.85169674,2017
"WORLD",15843645.1474942,2017
"AFR",2408337.94157353,2018
"ASIA",7409671.91125336,2018
"AUS",763172.350872833,2018
"EUR",1725572.54040028,2018
"LAM",1377570.34226201,2018
"NAM",2651797.0582491,2018
"WORLD",15928956.7555755,2018
"AFR",2435224.64449619,2019
"ASIA",7441274.68358204,2019
"AUS",769514.006051197,2019
"EUR",1733935.05732683,2019
"LAM",1390721.52429417,2019
"NAM",2659301.12023405,2019
"WORLD",16014267.876326,2019
"AFR",2462111.33920364,2020
"ASIA",7472877.33578333,2020
"AUS",775855.68358573,2020
"EUR",1742297.58234001,2020
"LAM",1403872.82495503,2020
"NAM",2666805.29424687,2020
"WORLD",16099579.0861436,2020
"AFR",2474047.90098014,2021
"ASIA",7530439.08733499,2021
"AUS",780523.167637856,2021
"EUR",1749091.6705325,2021
"LAM",1404880.24188666,2021
"NAM",2683770.07571092,2021
"WORLD",16196371.7369218,2021
"AFR",2485984.42174551,2022
"ASIA",7588000.69107544,2022
"AUS",785190.696226807,2022
"EUR",1755885.72737282,2022
"LAM",1405887.66320308,2022
"NAM",2700734.79884966,2022
"WORLD",16293164.278183,2022
"AFR",2497921.00490279,2023
"ASIA",7645562.44358141,2023
"AUS",789858.167708207,2023
"EUR",1762679.77163174,2023
"LAM",1406895.04854125,2023
"NAM",2717699.47441538,2023
"WORLD",16389956.8293038,2023
"AFR",2509857.57383872,2024
"ASIA",7703124.08158436,2024
"AUS",794525.677299416,2024
"EUR",1769473.79117333,2024
"LAM",1407902.47649648,2024
"NAM",2734664.22799298,2024
"WORLD",16486749.3388357,2024
"AFR",2521794.10956447,2025
"ASIA",7760685.79928742,2025
"AUS",799193.153357529,2025
"EUR",1776267.84597621,2025
"LAM",1408909.88833322,2025
"NAM",2751628.98974764,2025
"WORLD",16583541.9623471,2025
"AFR",2551186.15402218,2026
"ASIA",7810831.80326027,2026
"AUS",805722.041895687,2026
"EUR",1784357.75532151,2026
"LAM",1425247.0444148,2026
"NAM",2774295.55253894,2026
"WORLD",16707540.9958081,2026
"AFR",2580578.19959327,2027
"ASIA",7860977.94416848,2027
"AUS",812250.952646993,2027
"EUR",1792447.60848931,2027
"LAM",1441584.17804219,2027
"NAM",2796962.11225255,2027
"WORLD",16831540.0285623,2027
"AFR",2609970.01640335,2028
"ASIA",7911123.79651286,2028
"AUS",818779.93950553,2028
"EUR",1800537.53653272,2028
"LAM",1457921.36101207,2028
"NAM",2819628.69872473,2028
"WORLD",16955538.9588053,2028
"AFR",2639362.14138074,2029
"ASIA",7961269.73281223,2029
"AUS",825308.826472262,2029
"EUR",1808627.48316907,2029
"LAM",1474258.47798354,2029
"NAM",2842295.26814837,2029
"WORLD",17079537.9712237,2029
"AFR",2668754.09191115,2030
"ASIA",8011415.72678184,2030
"AUS",831837.738017891,2030
"EUR",1816717.36259014,2030
"LAM",1490595.61923489,2030
"NAM",2864961.78158273,2030
"WORLD",17203536.8716801,2030
"AFR",2688830.99678164,2031
"ASIA",8034481.94756994,2031
"AUS",833740.294100386,2031
"EUR",1823961.11088665,2031
"LAM",1501941.02521108,2031
"NAM",2867688.15190187,2031
"WORLD",17266624.0292459,2031
"AFR",2708908.07630395,2032
"ASIA",8057548.11991887,2032
"AUS",835642.84677193,2032
"EUR",1831204.86671395,2032
"LAM",1513286.45084892,2032
"NAM",2870414.64603907,2032
"WORLD",17329711.4390398,2032
"AFR",2728985.08264663,2033
"ASIA",8080614.28699488,2033
"AUS",837545.362002787,2033
"EUR",1838448.59453247,2033
"LAM",1524631.83546313,2033
"NAM",2873141.08337118,2033
"WORLD",17392798.6071635,2033
"AFR",2749062.10101416,2034
"ASIA",8103680.54724497,2034
"AUS",839447.937434651,2034
"EUR",1845692.3636755,2034
"LAM",1535977.23388611,2034
"NAM",2875867.48922245,2034
"WORLD",17455885.9972852,2034
"AFR",2769139.11700298,2035
"ASIA",8126746.59157741,2035
"AUS",841350.469486493,2035
"EUR",1852936.16680274,2035
"LAM",1547322.65067675,2035
"NAM",2878593.93949964,2035
"WORLD",17518973.2358782,2035
"AFR",2791728.34246163,2036
"ASIA",8169015.44253608,2036
"AUS",845217.02827984,2036
"EUR",1856704.70102172,2036
"LAM",1554551.64635702,2036
"NAM",2882781.66897995,2036
"WORLD",17597325.7993249,2036
"AFR",2814317.42646103,2037
"ASIA",8211284.36042973,2037
"AUS",849083.56866112,2037
"EUR",1860473.32353798,2037
"LAM",1561780.59183764,2037
"NAM",2886969.48752931,2037
"WORLD",17675678.3800276,2037
"AFR",2836906.58811665,2038
"ASIA",8253553.21758152,2038
"AUS",852950.077551945,2038
"EUR",1864241.990419,2038
"LAM",1569009.65394459,2038
"NAM",2891157.21858073,2038
"WORLD",17754031.0421827,2038
"AFR",2859495.63608313,2039
"ASIA",8295821.93358912,2039
"AUS",856816.579090748,2039
"EUR",1868010.59396257,2039
"LAM",1576238.6218785,2039
"NAM",2895345.03166076,2039
"WORLD",17832383.4244597,2039
"AFR",2882084.77085667,2040
"ASIA",8338090.91559036,2040
"AUS",860683.120690429,2040
"EUR",1871779.22012082,2040
"LAM",1583467.61600539,2040
"NAM",2899532.8130413,2040
"WORLD",17910736.1686391,2040
"AFR",2899013.32382481,2041
"ASIA",8370104.94766396,2041
"AUS",866302.403420962,2041
"EUR",1877100.28482245,2041
"LAM",1585119.81691858,2041
"NAM",2921594.5137887,2041
"WORLD",17990306.2688853,2041
"AFR",2915941.87435587,2042
"ASIA",8402119.29956931,2042
"AUS",871921.698365435,2042
"EUR",1882421.33539353,2042
"LAM",1586771.9491995,2042
"NAM",2943656.18794307,2042
"WORLD",18069876.6027845,2042
"AFR",2932870.43676194,2043
"ASIA",8434133.57427641,2043
"AUS",877540.858777987,2043
"EUR",1887742.34328223,2043
"LAM",1588424.15433708,2043
"NAM",2965717.81953488,2043
