"region","x","year"
"AFR",2147026.70898422,2005
"ASIA",7208560.25545433,2005
"AUS",743301.103289021,2005
"EUR",1774672.39904236,2005
"LAM",1276578.7268732,2005
"NAM",2646756.99944947,2005
"WORLD",15585679.2905529,2005
"AFR",2174977.68203325,2006
"ASIA",7221981.01508377,2006
"AUS",745418.987837563,2006
"EUR",1773728.74809655,2006
"LAM",1304277.95012456,2006
"NAM",2652755.76590852,2006
"WORLD",15656866.2816077,2006
"AFR",2202928.46426831,2007
"ASIA",7235401.77254918,2007
"AUS",747536.866225141,2007
"EUR",1772785.0494692,2007
"LAM",1331977.0596586,2007
"NAM",2658754.55532836,2007
"WORLD",15728052.958069,2007
"AFR",2230879.52094092,2008
"ASIA",7248822.70455611,2008
"AUS",749654.845001126,2008
"EUR",1771841.39247835,2008
"LAM",1359676.30648719,2008
"NAM",2664753.38902699,2008
"WORLD",15799240.3694979,2008
"AFR",2258830.59436171,2009
"ASIA",7262243.44935122,2009
"AUS",751772.87664433,2009
"EUR",1770897.69351467,2009
"LAM",1387375.59821134,2009
"NAM",2670751.9750116,2009
"WORLD",15870427.3807226,2009
"AFR",2286781.37983692,2010
"ASIA",7275664.25582931,2010
"AUS",753890.748439774,2010
"EUR",1769954.02992031,2010
"LAM",1415074.6474212,2010
"NAM",2676750.79830159,2010
"WORLD",15941614.1380977,2010
"AFR",2324882.17430397,2011
"ASIA",7292463.06988209,2011
"AUS",754923.834955442,2011
"EUR",1766672.34177483,2011
"LAM",1451536.11170527,2011
"NAM",2685857.34421397,2011
"WORLD",16032486.3604621,2011
"AFR",2362982.96545176,2012
"ASIA",7309261.82696405,2012
"AUS",755956.958883406,2012
"EUR",1763390.69644754,2012
"LAM",1487997.70771833,2012
"NAM",2694963.7968623,2012
"WORLD",16123358.6641608,2012
"AFR",2401083.89525521,2013
"ASIA",7326060.48362692,2013
"AUS",756990.186698735,2013
"EUR",1760109.0469628,2013
"LAM",1524459.1719195,2013
"NAM",2704070.2998951,2013
"WORLD",16214230.942468,2013
"AFR",2439184.72940203,2014
"ASIA",7342859.43265448,2014
"AUS",758023.310311775,2014
"EUR",1756827.33018759,2014
"LAM",1560920.61764141,2014
"NAM",2713176.84244677,2014
"WORLD",16305103.3018756,2014
"AFR",2477285.5744609,2015
"ASIA",7359658.04062049,2015
"AUS",759056.457387397,2015
"EUR",1753545.67326459,2015
"LAM",1597382.15861604,2015
"NAM",2722283.4777131,2015
"WORLD",16395975.5656596,2015
"AFR",2552368.64414325,2016
"ASIA",7378164.2450293,2016
"AUS",761550.68602361,2016
"EUR",1752560.20698951,2016
"LAM",1615807.3972066,2016
"NAM",2726868.19461816,2016
"WORLD",16505051.6542406,2016
"AFR",2627451.86589821,2017
"ASIA",7396670.20211065,2017
"AUS",764045.074418159,2017
"EUR",1751574.59945443,2017
"LAM",1634232.50543521,2017
"NAM",2731453.0183429,2017
"WORLD",16614127.6636279,2017
"AFR",2702535.04620131,2018
"ASIA",7415176.29494528,2018
"AUS",766539.32966678,2018
"EUR",1750589.12294364,2018
"LAM",1652657.85277984,2018
"NAM",2736037.91031868,2018
"WORLD",16723204.1047882,2018
"AFR",2777618.13316364,2019
"ASIA",7433682.3287071,2019
"AUS",769033.674306975,2019
"EUR",1749603.57919708,2019
"LAM",1671083.00685625,2019
"NAM",2740622.75697515,2019
"WORLD",16832280.152138,2019
"AFR",2852701.19000192,2020
"ASIA",7452188.23134615,2020
"AUS",771527.987807616,2020
"EUR",1748618.04984527,2020
"LAM",1689508.27369738,2020
"NAM",2745207.57936518,2020
"WORLD",16941356.1888351,2020
"AFR",2919897.47238422,2021
"ASIA",7481336.27476694,2021
"AUS",792353.71158308,2021
"EUR",1748387.34132898,2021
"LAM",1706013.95218182,2021
"NAM",2763942.48594377,2021
"WORLD",17091293.3167598,2021
"AFR",2987093.51714255,2022
"ASIA",7510483.90148743,2022
"AUS",813179.38062986,2022
"EUR",1748156.70267325,2022
"LAM",1722519.4888898,2022
"NAM",2782677.35888987,2022
"WORLD",17241229.8141858,2022
"AFR",3054289.54338935,2023
"ASIA",7539631.59233662,2023
"AUS",834005.091579747,2023
"EUR",1747926.05625494,2023
"LAM",1739025.1556492,2023
"NAM",2801412.34595264,2023
"WORLD",17391166.5904513,2023
"AFR",3121485.91030808,2024
"ASIA",7568779.46498676,2024
"AUS",854830.698247482,2024
"EUR",1747695.31128193,2024
"LAM",1755530.93312027,2024
"NAM",2820147.26936759,2024
"WORLD",17541103.6875959,2024
"AFR",3188681.89406202,2025
"ASIA",7597927.12267428,2025
"AUS",875656.324396427,2025
"EUR",1747464.60501048,2025
"LAM",1772036.58879156,2025
"NAM",2838882.09976843,2025
"WORLD",17691040.0137897,2025
"AFR",3240808.13000035,2026
"ASIA",7678434.03760093,2026
"AUS",883334.66185973,2026
"EUR",1759110.10439996,2026
"LAM",1785696.27890134,2026
"NAM",2865481.76275499,2026
"WORLD",17877426.3025384,2026
"AFR",3292934.36382678,2027
"ASIA",7758940.94021471,2027
"AUS",891012.909833039,2027
"EUR",1770755.52214076,2027
"LAM",1799356.09956833,2027
"NAM",2892081.42045384,2027
"WORLD",18063812.5007256,2027
"AFR",3345060.63942013,2028
"ASIA",7839447.90916604,2028
"AUS",898691.083416233,2028
"EUR",1782401.0441741,2028
"LAM",1813015.72193594,2028
"NAM",2918681.14169161,2028
"WORLD",18250198.6474904,2028
"AFR",3397186.87948469,2029
"ASIA",7919954.82834706,2029
"AUS",906369.22681088,2029
"EUR",1794046.52566931,2029
"LAM",1826675.5473802,2029
"NAM",2945280.73349574,2029
"WORLD",18436584.7760669,2029
"AFR",3449313.15763784,2030
"ASIA",8000461.63363777,2030
"AUS",914047.514107241,2030
"EUR",1805691.88952056,2030
"LAM",1840335.2470502,2030
"NAM",2971880.40033208,2030
"WORLD",18622970.7915302,2030
"AFR",3506153.73069107,2031
"ASIA",8030386.96513809,2031
"AUS",931911.901167584,2031
"EUR",1815986.0773427,2031
"LAM",1852549.97697414,2031
"NAM",3003566.36530261,2031
"WORLD",18778270.5260847,2031
"AFR",3562994.33198827,2032
"ASIA",8060312.14610487,2032
"AUS",949776.190791212,2032
"EUR",1826280.51812664,2032
"LAM",1864765.09096979,2032
"NAM",3035252.22102045,2032
"WORLD",18933570.5483921,2032
"AFR",3619835.25786008,2033
"ASIA",8090237.45819325,2033
"AUS",967640.566266669,2033
"EUR",1836574.81579452,2033
"LAM",1876979.92995958,2033
"NAM",3066938.2122274,2033
"WORLD",19088870.7793324,2033
"AFR",3676675.78696686,2034
"ASIA",8120162.65767888,2034
"AUS",985504.929389484,2034
"EUR",1846869.13079118,2034
"LAM",1889194.85582425,2034
"NAM",3098623.98450607,2034
"WORLD",19244170.3978855,2034
"AFR",3733516.56126305,2035
"ASIA",8150087.8687486,2035
"AUS",1003369.26899233,2035
"EUR",1857163.33344907,2035
"LAM",1901409.78444718,2035
"NAM",3130310.0041967,2035
"WORLD",19399470.4740519,2035
"AFR",3734728.04251586,2036
"ASIA",8148855.32140577,2036
"AUS",1008501.67363203,2036
"EUR",1858062.0777134,2036
"LAM",1904698.18446612,2036
"NAM",3135038.77877474,2036
"WORLD",19412530.1527709,2036
"AFR",3735939.66460058,2037
"ASIA",8147622.66855807,2037
"AUS",1013634.0417503,2037
"EUR",1858960.78508054,2037
"LAM",1907986.27385708,2037
"NAM",3139767.66183182,2037
"WORLD",19425589.7498401,2037
"AFR",3737151.21633084,2038
"ASIA",8146389.87616054,2038
"AUS",1018766.40617863,2038
"EUR",1859859.58915605,2038
"LAM",1911274.56281185,2038
"NAM",3144496.4393749,2038
"WORLD",19438649.2967795,2038
"AFR",3738362.80154019,2039
"ASIA",8145157.21235136,2039
"AUS",1023898.88724808,2039
"EUR",1860758.26517132,2039
"LAM",1914562.78225095,2039
"NAM",3149225.42789449,2039
"WORLD",19451709.1017664,2039
"AFR",3739574.37928647,2040
"ASIA",8143924.46471768,2040
"AUS",1029031.24076762,2040
"EUR",1861657.04832351,2040
"LAM",1917851.01972482,2040
"NAM",3153954.22134242,2040
"WORLD",19464768.6901162,2040
"AFR",3727741.45240329,2041
"ASIA",8144774.375022,2041
"AUS",1029495.14376724,2041
"EUR",1861076.32621041,2041
"LAM",1910596.98208184,2041
"NAM",3153819.23120925,2041
"WORLD",19446297.3348256,2041
"AFR",3715908.63416268,2042
"ASIA",8145624.28968156,2042
"AUS",1029958.96227541,2042
"EUR",1860495.60268278,2042
"LAM",1903342.67300303,2042
"NAM",3153684.52035155,2042
"WORLD",19427825.9039998,2042
"AFR",3704075.80048625,2043
"ASIA",8146473.9712162,2043
"AUS",1030422.88979302,2043
"EUR",1859914.77436989,2043
"LAM",1896088.76114775,2043
"NAM",3153549.67887367,2043
"WORLD",19409354.6240533,2043
"AFR",3692243.04288256,2044
"ASIA",8147324.06573486,2044
"AUS",1030886.82778058,2044
"EUR",1859334.04003855,2044
"LAM",1888834.56849633,2044
"NAM",3153414.64704059,2044
"WORLD",19390883.3596941,2044
"AFR",3680410.27212556,2045
"ASIA",8148173.72700465,2045
"AUS",1031350.68018617,2045
"EUR",1858753.34018418,2045
"LAM",1881580.52780385,2045
"NAM",3153279.86263028,2045
"WORLD",19372412.0528705,2045
"AFR",3660098.41204125,2046
"ASIA",8154629.28259701,2046
"AUS",1023260.32865261,2046
"EUR",1855793.85631499,2046
"LAM",1873981.85428948,2046
"NAM",3136721.94063172,2046
"WORLD",19323685.735096,2046
"AFR",3639786.54565945,2047
"ASIA",8161084.79748641,2047
"AUS",1015169.9659482,2047
"EUR",1852834.36890975,2047
"LAM",1866383.14456871,2047
"NAM",3120163.96663504,2047
"WORLD",19274959.3155848,2047
"AFR",3619474.53074928,2048
"ASIA",8167540.23196559,2048
"AUS",1007079.66066426,2048
"EUR",1849874.96900048,2048
"LAM",1858784.56957349,2048
"NAM",3103605.94502841,2048
"WORLD",19226232.9190664,2048
"AFR",3599162.46930587,2049
"ASIA",8173995.50891748,2049
"AUS",998989.352506354,2049
"EUR",1846915.39292605,2049
"LAM",1851185.99140478,2049
"NAM",3087048.03188643,2049
"WORLD",19177506.2723537,2049
"AFR",3578850.70452581,2050
"ASIA",8180451.07138444,2050
"AUS",990899.004410931,2050
"EUR",1843955.98550311,2050
"LAM",1843587.24453586,2050
"NAM",3070490.12052346,2050
"WORLD",19128780.0211792,2050
"AFR",3582268.63539833,2051
"ASIA",8190685.23346302,2051
"AUS",992414.527259176,2051
"EUR",1846607.97237244,2051
"LAM",1845531.17431799,2051
"NAM",3078085.24879723,2051
"WORLD",19156172.0972952,2051
"AFR",3585686.73950128,2052
"ASIA",8200919.76679827,2052
"AUS",993930.017840167,2052
"EUR",1849259.95354663,2052
"LAM",1847474.87923452,2052
"NAM",3085680.24506471,2052
"WORLD",19183564.0177516,2052
"AFR",3589104.83470603,2053
"ASIA",8211154.14645477,2053
"AUS",995445.467511017,2053
"EUR",1851911.98987638,2053
"LAM",1849418.76245388,2053
"NAM",3093275.2742277,2053
"WORLD",19210956.1329765,2053
"AFR",3592523.22966114,2054
"ASIA",8221388.61307941,2054
"AUS",996961.026393854,2054
"EUR",1854564.06991196,2054
"LAM",1851362.73122298,2054
"NAM",3100870.27410529,2054
"WORLD",19238348.846185,2054
"AFR",3595941.2115385,2055
"ASIA",8231623.01795519,2055
"AUS",998476.56112237,2055
"EUR",1857216.18560146,2055
"LAM",1853306.39807546,2055
"NAM",3108465.30961557,2055
"WORLD",19265740.7986599,2055
"AFR",3634262.67371078,2056
"ASIA",8259166.05786794,2056
"AUS",1010192.79045023,2056
"EUR",1863838.24878936,2056
"LAM",1868179.93479827,2056
"NAM",3126249.32352867,2056
"WORLD",19379318.537073,2056
"AFR",3672583.57322528,2057
"ASIA",8286708.99119026,2057
"AUS",1021909.11865424,2057
"EUR",1870460.38962769,2057
"LAM",1883053.60091015,2057
"NAM",3144033.2306435,2057
"WORLD",19492895.8626407,2057
"AFR",3710904.82152302,2058
"ASIA",8314251.87041751,2058
"AUS",1033625.51095807,2058
"EUR",1877082.55758017,2058
"LAM",1897927.11540368,2058
"NAM",3161817.17135862,2058
"WORLD",19606473.4584557,2058
"AFR",3749226.04845481,2059
"ASIA",8341794.96750013,2059
"AUS",1045341.78555336,2059
"EUR",1883704.66711004,2059
"LAM",1912800.55111206,2059
"NAM",3179601.11135054,2059
"WORLD",19720050.9320712,2059
"AFR",3787547.4048682,2060
"ASIA",8369337.83758178,2060
"AUS",1057058.07861544,2060
"EUR",1890326.84972345,2060
"LAM",1927674.17867976,2060
"NAM",3197385.24042152,2060
"WORLD",19833628.8635205,2060
"AFR",3811513.21812183,2061
"ASIA",8381129.67228741,2061
"AUS",1063386.6943183,2061
"EUR",1895475.82120105,2061
"LAM",1939720.71284255,2061
"NAM",3207787.12947801,2061
"WORLD",19902705.403018,2061
"AFR",3835479.26387755,2062
"ASIA",8392921.69370941,2062
"AUS",1069715.30310008,2062
"EUR",1900624.78258777,2062
"LAM",1951767.14922183,2062
"NAM",3218188.84843895,2062
"WORLD",19971782.0396565,2062
"AFR",3859445.20200636,2063
"ASIA",8404713.59636937,2063
"AUS",1076043.95369904,2063
"EUR",1905773.80025738,2063
"LAM",1963813.62395579,2063
"NAM",3228590.79945211,2063
"WORLD",20040858.879059,2063
"AFR",3883411.11057854,2064
"ASIA",8416505.29852937,2064
"AUS",1082372.66437682,2064
"EUR",1910922.68663317,2064
"LAM",1975859.95116719,2064
"NAM",3238992.55109148,2064
"WORLD",20109935.1710725,2064
"AFR",3907377.18848805,2065
"ASIA",8428297.29793023,2065
"AUS",1088701.26662919,2065
"EUR",1916071.70541769,2065
"LAM",1987906.40895328,2065
"NAM",3249394.41800284,2065
"WORLD",20179011.9881807,2065
"AFR",3913493.41238144,2066
