"region","x","year"
"AFR",2147026.70898422,2005
"ASIA",7208560.25545433,2005
"AUS",743301.103289021,2005
"EUR",1774672.39904236,2005
"LAM",1276578.7268732,2005
"NAM",2646756.99944947,2005
"WORLD",15585679.2905529,2005
"AFR",2167335.74444038,2006
"ASIA",7217342.2255892,2006
"AUS",743597.574126895,2006
"EUR",1770865.64823263,2006
"LAM",1291646.60057034,2006
"NAM",2648331.43596418,2006
"WORLD",15625630.3180235,2006
"AFR",2187645.21321583,2007
"ASIA",7226124.14823782,2007
"AUS",743893.957969493,2007
"EUR",1767059.18730873,2007
"LAM",1306714.4932332,2007
"NAM",2649905.8843597,2007
"WORLD",15665581.930001,2007
"AFR",2207954.20708498,2008
"ASIA",7234905.98227434,2008
"AUS",744190.246239059,2008
"EUR",1763252.46993068,2008
"LAM",1321782.25052328,2008
"NAM",2651480.31846144,2008
"WORLD",15705532.5435401,2008
"AFR",2228263.38491342,2009
"ASIA",7243687.77217501,2009
"AUS",744486.602406251,2009
"EUR",1759445.78774268,2009
"LAM",1336850.37499646,2009
"NAM",2653054.85581073,2009
"WORLD",15745483.7788017,2009
"AFR",2248572.44918992,2010
"ASIA",7252469.48873697,2010
"AUS",744782.978013355,2010
"EUR",1755639.08463661,2010
"LAM",1351918.19923964,2010
"NAM",2654629.3143073,2010
"WORLD",15785434.5163404,2010
"AFR",2267999.02110472,2011
"ASIA",7259830.41423929,2011
"AUS",745483.446382455,2011
"EUR",1752075.31184621,2011
"LAM",1367989.67303066,2011
"NAM",2657448.7704895,2011
"WORLD",15825776.7411997,2011
"AFR",2287425.67208465,2012
"ASIA",7267191.5516371,2012
"AUS",746183.799088666,2012
"EUR",1748511.413572,2012
"LAM",1384061.28761799,2012
"NAM",2660268.3337159,2012
"WORLD",15866119.2754497,2012
"AFR",2306852.13472648,2013
"ASIA",7274552.69776719,2013
"AUS",746884.364748206,2013
"EUR",1744947.53373199,2013
"LAM",1400132.99530123,2013
"NAM",2663087.80550677,2013
"WORLD",15906461.8544278,2013
"AFR",2326278.63800411,2014
"ASIA",7281913.64449428,2014
"AUS",747584.869633457,2014
"EUR",1741383.69285276,2014
"LAM",1416204.4688413,2014
"NAM",2665907.08946336,2014
"WORLD",15946803.8086781,2014
"AFR",2345705.48707611,2015
"ASIA",7289274.70919891,2015
"AUS",748285.362982523,2015
"EUR",1737819.92052757,2015
"LAM",1432276.07600501,2015
"NAM",2668726.68515289,2015
"WORLD",15987146.5608141,2015
"AFR",2365132.00064278,2016
"ASIA",7296635.83417497,2016
"AUS",748985.795661928,2016
"EUR",1734256.04362092,2016
"LAM",1448347.56454311,2016
"NAM",2671546.11132636,2016
"WORLD",16027488.8242578,2016
"AFR",2384558.41700899,2017
"ASIA",7303996.72030514,2017
"AUS",749686.297186356,2017
"EUR",1730692.28344287,2017
"LAM",1464419.24192204,2017
"NAM",2674365.70148399,2017
"WORLD",16067831.3187151,2017
"AFR",2403984.95598925,2018
"ASIA",7311357.65091261,2018
"AUS",750386.794369006,2018
"EUR",1727128.48255519,2018
"LAM",1480490.9230421,2018
"NAM",2677185.05605248,2018
"WORLD",16108173.7214254,2018
"AFR",2423411.57004834,2019
"ASIA",7318718.92949653,2019
"AUS",751087.317962054,2019
"EUR",1723564.57844981,2019
"LAM",1496562.26913148,2019
"NAM",2680004.53976863,2019
"WORLD",16148516.0435792,2019
"AFR",2442838.24996367,2020
"ASIA",7326079.85233637,2020
"AUS",751787.77903243,2020
"EUR",1720000.66860161,2020
"LAM",1512634.10907822,2020
"NAM",2682823.92517937,2020
"WORLD",16188858.4940807,2020
"AFR",2462073.16624268,2021
"ASIA",7331743.8575473,2021
"AUS",753411.298421713,2021
"EUR",1716749.82890465,2021
"LAM",1524848.46629288,2021
"NAM",2687986.11276947,2021
"WORLD",16227180.9801945,2021
"AFR",2481308.16601222,2022
"ASIA",7337407.84572876,2022
"AUS",755034.937875884,2022
"EUR",1713499.07113902,2022
"LAM",1537063.00702707,2022
"NAM",2693148.05918755,2022
"WORLD",16265503.4921623,2022
"AFR",2500543.26160802,2023
"ASIA",7343071.90017222,2023
"AUS",756658.483681102,2023
"EUR",1710248.19908133,2023
"LAM",1549277.39179645,2023
"NAM",2698309.93467244,2023
"WORLD",16303825.8708138,2023
"AFR",2519778.25449419,2024
"ASIA",7348735.62249432,2024
"AUS",758282.051194385,2024
"EUR",1706997.2250897,2024
"LAM",1561491.91488761,2024
"NAM",2703472.18431322,2024
"WORLD",16342148.2033854,2024
"AFR",2539013.36794078,2025
"ASIA",7354399.66344382,2025
"AUS",759905.725356012,2025
"EUR",1703746.52937855,2025
"LAM",1573706.44199708,2025
"NAM",2708634.10308865,2025
"WORLD",16380471.0176211,2025
"AFR",2558248.47185669,2026
"ASIA",7360063.55135769,2026
"AUS",761529.249064519,2026
"EUR",1700495.66510233,2026
"LAM",1585920.92202953,2026
"NAM",2713796.17963015,2026
"WORLD",16418793.4519889,2026
"AFR",2577483.1909102,2027
"ASIA",7365727.33319988,2027
"AUS",763152.843875463,2027
"EUR",1697244.7070239,2027
"LAM",1598135.36008809,2027
"NAM",2718958.12695701,2027
"WORLD",16457115.3009724,2027
"AFR",2596718.4025503,2028
"ASIA",7371391.47764318,2028
"AUS",764776.302114407,2028
"EUR",1693993.98650775,2028
"LAM",1610349.9602761,2028
"NAM",2724120.27396139,2028
"WORLD",16495438.3386565,2028
"AFR",2615953.36272737,2029
"ASIA",7377055.49824552,2029
"AUS",766399.95631878,2029
"EUR",1690743.08770141,2029
"LAM",1622564.52375396,2029
"NAM",2729282.14605704,2029
"WORLD",16533760.8130492,2029
"AFR",2635188.48172677,2030
"ASIA",7382719.49147577,2030
"AUS",768023.399527721,2030
"EUR",1687492.32753404,2030
"LAM",1634778.9794353,2030
"NAM",2734444.25413437,2030
"WORLD",16572083.4201974,2030
"AFR",2655287.00819263,2031
"ASIA",7389191.18835861,2031
"AUS",769941.342164773,2031
"EUR",1685510.10005014,2031
"LAM",1645732.21942233,2031
"NAM",2740285.89428848,2031
"WORLD",16613054.9980166,2031
"AFR",2675385.72303217,2032
"ASIA",7395663.57233646,2032
"AUS",771859.346032453,2032
"EUR",1683528.15569842,2032
"LAM",1656685.21659629,2032
"NAM",2746127.34638291,2032
"WORLD",16654027.287224,2032
"AFR",2695484.34564176,2033
"ASIA",7402135.47631996,2033
"AUS",773777.442138487,2033
"EUR",1681546.10712361,2033
"LAM",1667638.46552847,2033
"NAM",2751968.72617256,2033
"WORLD",16694999.2111998,2033
"AFR",2715582.93730642,2034
"ASIA",7408607.53591023,2034
"AUS",775695.245018945,2034
"EUR",1679563.82130263,2034
"LAM",1678591.52986939,2034
"NAM",2757810.21002316,2034
"WORLD",16735970.7229103,2034
"AFR",2735681.63284467,2035
"ASIA",7415079.82953088,2035
"AUS",777613.171890788,2035
"EUR",1677581.76518555,2035
"LAM",1689544.66195951,2035
"NAM",2763651.73181006,2035
"WORLD",16776942.9546825,2035
"AFR",2755780.14971012,2036
"ASIA",7421551.72965874,2036
"AUS",779531.082298367,2036
"EUR",1675599.75698377,2036
"LAM",1700497.911026,2036
"NAM",2769493.22646785,2036
"WORLD",16817914.7811863,2036
"AFR",2775878.85244509,2037
"ASIA",7428023.83014398,2037
"AUS",781449.118165589,2037
"EUR",1673617.66949314,2037
"LAM",1711451.17573261,2037
"NAM",2775334.69583491,2037
"WORLD",16858886.9433731,2037
"AFR",2795977.53604782,2038
"ASIA",7434495.87033908,2038
"AUS",783367.041974438,2038
"EUR",1671635.61347436,2038
"LAM",1722404.22054175,2038
"NAM",2781176.27950786,2038
"WORLD",16899858.9295209,2038
"AFR",2816076.14020422,2039
"ASIA",7440968.08197244,2039
"AUS",785284.939286044,2039
"EUR",1669653.55980167,2039
"LAM",1733357.44877456,2039
"NAM",2787017.68135449,2039
"WORLD",16940830.9972798,2039
"AFR",2836174.66787047,2040
"ASIA",7447440.21054526,2040
"AUS",787202.967243188,2040
"EUR",1667671.39502466,2040
"LAM",1744310.49024874,2040
"NAM",2792859.32416075,2040
"WORLD",16981802.9801201,2040
"AFR",2854537.71525101,2041
"ASIA",7450900.64136258,2041
"AUS",788734.085864191,2041
"EUR",1665423.55795753,2041
"LAM",1751288.68028824,2041
"NAM",2791168.21591371,2041
"WORLD",17006051.7596818,2041
"AFR",2872900.8221809,2042
"ASIA",7454360.87695524,2042
"AUS",790265.359127746,2042
"EUR",1663175.76977058,2042
"LAM",1758266.95767964,2042
"NAM",2789477.24817962,2042
"WORLD",17030300.7557072,2042
"AFR",2891263.88221189,2043
"ASIA",7457821.28667805,2043
"AUS",791796.538301975,2043
"EUR",1660927.83621379,2043
"LAM",1765245.40603703,2043
"NAM",2787786.30176578,2043
"WORLD",17054550.0274744,2043
"AFR",2909626.83332925,2044
"ASIA",7461281.56927693,2044
"AUS",793327.876322775,2044
"EUR",1658680.10987334,2044
"LAM",1772223.61073108,2044
"NAM",2786095.21363823,2044
"WORLD",17078798.8890816,2044
"AFR",2927989.9098657,2045
"ASIA",7464741.82259976,2045
"AUS",794859.061466176,2045
"EUR",1656432.25651938,2045
"LAM",1779201.88028448,2045
"NAM",2784404.16056554,2045
"WORLD",17103047.7313372,2045
"AFR",2946352.85428433,2046
"ASIA",7468202.2386992,2046
"AUS",796390.329238827,2046
"EUR",1654184.44221313,2046
"LAM",1786180.19874148,2046
"NAM",2782713.21873852,2046
"WORLD",17127296.8666141,2046
"AFR",2964716.11839914,2047
"ASIA",7471662.30416106,2047
"AUS",797921.41791615,2047
"EUR",1651936.62407088,2047
"LAM",1793158.54779802,2047
"NAM",2781022.27339861,2047
"WORLD",17151545.8293969,2047
"AFR",2983079.16349016,2048
"ASIA",7475122.59660831,2048
"AUS",799452.768088916,2048
"EUR",1649688.73900537,2048
"LAM",1800136.67990434,2048
"NAM",2779331.17943758,2048
"WORLD",17175794.5748661,2048
"AFR",3001442.2050836,2049
"ASIA",7478583.04295719,2049
"AUS",800984.004389136,2049
"EUR",1647440.87743701,2049
"LAM",1807114.91682581,2049
"NAM",2777640.26092641,2049
"WORLD",17200043.7937335,2049
"AFR",3019805.16145672,2050
"ASIA",7482043.48225072,2050
"AUS",802515.149683785,2050
"EUR",1645193.06729935,2050
"LAM",1814093.12096255,2050
"NAM",2775949.19798723,2050
"WORLD",17224292.5655273,2050
"AFR",3037523.3565537,2051
"ASIA",7484959.12224459,2051
"AUS",804151.501681879,2051
"EUR",1643033.54113723,2051
"LAM",1819609.25206257,2051
"NAM",2779421.83881033,2051
"WORLD",17251325.7689534,2051
"AFR",3055241.35653112,2052
"ASIA",7487874.74256157,2052
"AUS",805788.041091415,2052
"EUR",1640874.23390516,2052
"LAM",1825125.21049942,2052
"NAM",2782894.55825007,2052
"WORLD",17278358.9568047,2052
"AFR",3072959.49635278,2053
"ASIA",7490790.2058897,2053
"AUS",807424.203495149,2053
"EUR",1638714.93485056,2053
"LAM",1830641.12429849,2053
"NAM",2786367.21414689,2053
"WORLD",17305391.6796419,2053
"AFR",3090677.55255943,2054
"ASIA",7493706.21555542,2054
"AUS",809060.57142161,2054
"EUR",1636555.43115041,2054
"LAM",1836157.30989795,2054
"NAM",2789839.89377995,2054
"WORLD",17332425.2042964,2054
"AFR",3108395.60094515,2055
"ASIA",7496621.70180265,2055
"AUS",810696.914460296,2055
"EUR",1634396.11014062,2055
"LAM",1841673.38947092,2055
"NAM",2793312.53024361,2055
"WORLD",17359458.2467279,2055
"AFR",3126113.62761449,2056
"ASIA",7499537.39019033,2056
"AUS",812333.232247271,2056
"EUR",1632236.65021514,2056
"LAM",1847189.34897604,2056
"NAM",2796785.1812662,2056
"WORLD",17386491.0903456,2056
"AFR",3143831.87738038,2057
"ASIA",7502453.21970567,2057
"AUS",813969.674550333,2057
"EUR",1630077.30305731,2057
"LAM",1852705.28269437,2057
"NAM",2800257.83953337,2057
"WORLD",17413524.5566025,2057
"AFR",3161549.99220383,2058
"ASIA",7505368.5962951,2058
"AUS",815605.98233732,2058
"EUR",1627917.94776308,2058
"LAM",1858221.44609397,2058
"NAM",2803730.5191072,2058
"WORLD",17440557.5163357,2058
"AFR",3179268.15385504,2059
"ASIA",7508284.43067138,2059
"AUS",817242.348188792,2059
"EUR",1625758.57783862,2059
"LAM",1863737.28355091,2059
"NAM",2807203.32194414,2059
"WORLD",17467590.8009673,2059
"AFR",3196986.17128031,2060
"ASIA",7511199.99165163,2060
"AUS",818878.74561141,2060
"EUR",1623599.03240052,2060
"LAM",1869253.62026356,2060
"NAM",2810675.8981542,2060
"WORLD",17494623.9380412,2060
"AFR",3211473.58932812,2061
"ASIA",7514767.68217605,2061
"AUS",819991.324049372,2061
"EUR",1621386.67632212,2061
"LAM",1872027.09742776,2061
"NAM",2813295.35001407,2061
"WORLD",17515335.7099683,2061
"AFR",3225960.37112091,2062
"ASIA",7518335.1006979,2062
"AUS",821103.853662292,2062
"EUR",1619174.13017908,2062
"LAM",1874800.83508926,2062
"NAM",2815914.94389224,2062
"WORLD",17536046.8248557,2062
"AFR",3240447.69099879,2063
"ASIA",7521902.79992734,2063
"AUS",822216.453737641,2063
"EUR",1616961.77220793,2063
"LAM",1877574.28278727,2063
"NAM",2818534.38140479,2063
"WORLD",17556758.4661306,2063
"AFR",3254934.92871344,2064
"ASIA",7525470.13248926,2064
"AUS",823329.035376072,2064
"EUR",1614749.39899264,2064
"LAM",1880347.96543842,2064
"NAM",2821154.00117741,2064
"WORLD",17577470.2594592,2064
"AFR",3269422.13408729,2065
"ASIA",7529037.90070884,2065
"AUS",824441.685494197,2065
"EUR",1612536.81402363,2065
"LAM",1883121.61293219,2065
"NAM",2823773.29752675,2065
"WORLD",17598181.8352949,2065
"AFR",3283909.22041859,2066
"ASIA",7532605.43212015,2066
