"region","x","year"
"AFR",2147026.70898422,2005
"ASIA",7208560.25545433,2005
"AUS",743301.103289021,2005
"EUR",1774672.39904236,2005
"LAM",1276578.7268732,2005
"NAM",2646756.99944947,2005
"WORLD",15585679.2905529,2005
"AFR",2105389.47768197,2006
"ASIA",7189183.63555167,2006
"AUS",732656.54454532,2006
"EUR",1773174.93432146,2006
"LAM",1253628.8998754,2006
"NAM",2626968.23284154,2006
"WORLD",15475251.680019,2006
"AFR",2063752.12995153,2007
"ASIA",7169807.07006933,2007
"AUS",722011.979345717,2007
"EUR",1771677.85008976,2007
"LAM",1230678.9103328,2007
"NAM",2607179.63191381,2007
"WORLD",15364824.4807413,2007
"AFR",2022114.92377912,2008
"ASIA",7150430.42969774,2008
"AUS",711367.257148936,2008
"EUR",1770180.47903467,2008
"LAM",1207728.92604778,2008
"NAM",2587390.81368741,2008
"WORLD",15254396.6034207,2008
"AFR",1980477.59979253,2009
"ASIA",7131053.63267549,2009
"AUS",700722.660148944,2009
"EUR",1768683.28425041,2009
"LAM",1184779.03076775,2009
"NAM",2567602.15376848,2009
"WORLD",15143969.080061,2009
"AFR",1938840.35129559,2010
"ASIA",7111677.04093309,2010
"AUS",690078.175143055,2010
"EUR",1767185.99459918,2010
"LAM",1161829.14954549,2010
"NAM",2547813.49232331,2010
"WORLD",15033541.7859474,2010
"AFR",1898857.13066358,2011
"ASIA",7092749.95931326,2011
"AUS",678272.723974638,2011
"EUR",1764250.10754097,2011
"LAM",1138879.2030134,2011
"NAM",2528024.77666482,2011
"WORLD",14923114.1219449,2011
"AFR",1858873.70422667,2012
"ASIA",7073822.80535844,2012
"AUS",666467.360383027,2012
"EUR",1761314.25510083,2012
"LAM",1115929.38747542,2012
"NAM",2508235.96853244,2012
"WORLD",14812686.4060906,2012
"AFR",1818890.67065355,2013
"ASIA",7054895.67268306,2013
"AUS",654662.047575408,2013
"EUR",1758378.41562678,2013
"LAM",1092979.26487305,2013
"NAM",2488447.20593719,2013
"WORLD",14702258.7449626,2013
"AFR",1778907.45024692,2014
"ASIA",7035968.83264325,2014
"AUS",642856.731424117,2014
"EUR",1755442.5073375,2014
"LAM",1070029.36181541,2014
"NAM",2468658.61089808,2014
"WORLD",14591831.5674346,2014
"AFR",1738924.14402964,2015
"ASIA",7017041.60662927,2015
"AUS",631051.346741266,2015
"EUR",1752506.62788801,2015
"LAM",1047079.51279457,2015
"NAM",2448869.8943674,2015
"WORLD",14481403.9020095,2015
"AFR",1698940.8358089,2016
"ASIA",6998114.39509084,2016
"AUS",619246.022046049,2016
"EUR",1749570.71531212,2016
"LAM",1024129.51166523,2016
"NAM",2429081.25783022,2016
"WORLD",14370976.1105427,2016
"AFR",1658957.72187433,2017
"ASIA",6979187.34909825,2017
"AUS",607440.686059788,2017
"EUR",1746634.90669735,2017
"LAM",1001179.56357261,2017
"NAM",2409292.38521474,2017
"WORLD",14260548.5854189,2017
"AFR",1618974.49910457,2018
"ASIA",6960260.23828704,2018
"AUS",595635.32577991,2018
"EUR",1743699.07376299,2018
"LAM",978229.787807992,2018
"NAM",2389503.79758644,2018
"WORLD",14150121.3861334,2018
"AFR",1578991.14209045,2019
"ASIA",6941332.95701856,2019
"AUS",583829.963883832,2019
"EUR",1740763.20420038,2019
"LAM",955279.658507269,2019
"NAM",2369714.89394328,2019
"WORLD",14039693.1108467,2019
"AFR",1539008.03015519,2020
"ASIA",6922405.79450967,2020
"AUS",572024.703084183,2020
"EUR",1737827.30961749,2020
"LAM",932329.820886896,2020
"NAM",2349926.28176875,2020
"WORLD",13929265.7713897,2020
"AFR",1537383.11991886,2021
"ASIA",6900336.89696403,2021
"AUS",567704.937996687,2021
"EUR",1730664.94619958,2021
"LAM",927552.637961337,2021
"NAM",2337427.41199438,2021
"WORLD",13875834.9320622,2021
"AFR",1535758.08483627,2022
"ASIA",6878267.73127247,2022
"AUS",563385.01564845,2022
"EUR",1723502.82145624,2022
"LAM",922775.591109098,2022
"NAM",2324928.46254507,2022
"WORLD",13822403.8230552,2022
"AFR",1534133.1177975,2023
"ASIA",6856198.76214099,2023
"AUS",559065.216777869,2023
"EUR",1716340.53748257,2023
"LAM",917998.291072505,2023
"NAM",2312429.63965192,2023
"WORLD",13768972.7905642,2023
"AFR",1532508.2553843,2024
"ASIA",6834129.74984095,2024
"AUS",554745.509095164,2024
"EUR",1709178.18682828,2024
"LAM",913221.202428205,2024
"NAM",2299930.82861307,2024
"WORLD",13715542.0599506,2024
"AFR",1530883.19905048,2025
"ASIA",6812060.46110181,2025
"AUS",550425.650804158,2025
"EUR",1702015.85686766,2025
"LAM",908444.033670264,2025
"NAM",2287431.95927476,2025
"WORLD",13662110.6721827,2025
"AFR",1529258.24100361,2026
"ASIA",6789991.39732302,2026
"AUS",546105.838653049,2026
"EUR",1694853.68550688,2026
"LAM",903666.808595456,2026
"NAM",2274933.05195211,2026
"WORLD",13608679.642532,2026
"AFR",1527633.42094514,2027
"ASIA",6767922.35307134,2027
"AUS",541785.921189629,2027
"EUR",1687691.26329438,2027
"LAM",898889.625127592,2027
"NAM",2262434.07916902,2027
"WORLD",13555248.3780656,2027
"AFR",1526008.34142515,2028
"ASIA",6745853.20873936,2028
"AUS",537466.156547119,2028
"EUR",1680529.05046786,2028
"LAM",894112.58282428,2028
"NAM",2249935.22898757,2028
"WORLD",13501817.3714443,2028
"AFR",1524383.55085895,2029
"ASIA",6723784.0952637,2029
"AUS",533146.413840878,2029
"EUR",1673366.81858371,2029
"LAM",889335.393096458,2029
"NAM",2237436.35025502,2029
"WORLD",13448386.5656841,2029
"AFR",1522758.46536495,2030
"ASIA",6701715.02425322,2030
"AUS",528826.531493143,2030
"EUR",1666204.60800783,2030
"LAM",884558.27386544,2030
"NAM",2224937.54027419,2030
"WORLD",13394955.5809715,2030
"AFR",1522910.9490437,2031
"ASIA",6684873.47012052,2031
"AUS",526402.343512099,2031
"EUR",1659878.76466291,2031
"LAM",882508.709673213,2031
"NAM",2217993.58519679,2031
"WORLD",13359667.0709132,2031
"AFR",1523063.36804663,2032
"ASIA",6668031.79694049,2032
"AUS",523978.08743162,2032
"EUR",1653552.85202372,2032
"LAM",880459.175980725,2032
"NAM",2211049.5690149,2032
"WORLD",13324378.3223179,2032
"AFR",1523215.84569492,2033
"ASIA",6651190.39640563,2033
"AUS",521553.872780122,2033
"EUR",1647227.0907114,2033
"LAM",878409.476956403,2033
"NAM",2204105.49719306,2033
"WORLD",13289089.8252045,2033
"AFR",1523368.33891187,2034
"ASIA",6634348.91794231,2034
"AUS",519129.669898907,2034
"EUR",1640901.25995009,2034
"LAM",876359.905652881,2034
"NAM",2197161.54297638,2034
"WORLD",13253801.4036032,2034
"AFR",1523520.76454935,2035
"ASIA",6617507.26488583,2035
"AUS",516705.591823675,2035
"EUR",1634575.40308554,2035
"LAM",874310.428068493,2035
"NAM",2190217.72276164,2035
"WORLD",13218513.0608801,2035
"AFR",1523673.15408625,2036
"ASIA",6600665.77124794,2036
"AUS",514281.345475504,2036
"EUR",1628249.62076393,2036
"LAM",872260.916170169,2036
"NAM",2183273.68578922,2036
"WORLD",13183224.6060345,2036
"AFR",1523825.65019809,2037
"ASIA",6583824.17606072,2037
"AUS",511857.010836773,2037
"EUR",1621923.74316816,2037
"LAM",870211.356968611,2037
"NAM",2176329.62345102,2037
"WORLD",13147935.8370026,2037
"AFR",1523978.0653493,2038
"ASIA",6566982.72885317,2038
"AUS",509432.905292402,2038
"EUR",1615597.92297884,2038
"LAM",868161.728257184,2038
"NAM",2169385.70348749,2038
"WORLD",13112647.4504792,2038
"AFR",1524130.53433959,2039
"ASIA",6550141.03157892,2039
"AUS",507008.685339281,2039
"EUR",1609272.0878028,2039
"LAM",866112.070682595,2039
"NAM",2162441.78138936,2039
"WORLD",13077358.7574709,2039
"AFR",1524282.97441416,2040
"ASIA",6533299.438456,2040
"AUS",504584.392136624,2040
"EUR",1602946.3008826,2040
"LAM",864062.702871905,2040
"NAM",2155497.74276258,2040
"WORLD",13042070.3074479,2040
"AFR",1526279.38936646,2041
"ASIA",6521233.76198709,2041
"AUS",504056.29302036,2041
"EUR",1597758.13538589,2041
"LAM",864788.913523651,2041
"NAM",2154071.40525186,2041
"WORLD",13024924.4702687,2041
"AFR",1528275.61516483,2042
"ASIA",6509167.99969745,2042
"AUS",503528.000417661,2042
"EUR",1592569.98753073,2042
"LAM",865515.400230377,2042
"NAM",2152645.03598589,2042
"WORLD",13007778.4796101,2042
"AFR",1530271.95766837,2043
"ASIA",6497102.17547957,2043
"AUS",502999.897960712,2043
"EUR",1587381.76785247,2043
"LAM",866241.59235271,2043
"NAM",2151218.78134717,2043
"WORLD",12990632.5037532,2043
"AFR",1532268.24600897,2044
"ASIA",6485036.39737659,2044
"AUS",502471.700062575,2044
"EUR",1582193.67244389,2044
"LAM",866967.97177713,2044
"NAM",2149792.51971721,2044
"WORLD",12973486.6638366,2044
"AFR",1534264.54939039,2045
"ASIA",6472970.52007731,2045
"AUS",501943.427895457,2045
"EUR",1577005.36148221,2045
"LAM",867694.290654875,2045
"NAM",2148366.10490155,2045
"WORLD",12956340.2940751,2045
"AFR",1536260.95480912,2046
"ASIA",6460904.77943207,2046
"AUS",501415.177626602,2046
"EUR",1571817.26875845,2046
"LAM",868420.600181709,2046
"NAM",2146939.84293128,2046
"WORLD",12939194.4914916,2046
"AFR",1538257.30342134,2047
"ASIA",6448839.02795734,2047
"AUS",500887.045549871,2047
"EUR",1566629.0278546,2047
"LAM",869146.880053164,2047
"NAM",2145513.42946632,2047
"WORLD",12922048.4058636,2047
"AFR",1540253.64134353,2048
"ASIA",6436773.19579744,2048
"AUS",500358.718897316,2048
"EUR",1561440.90878002,2048
"LAM",869873.30716231,2048
"NAM",2144087.29812332,2048
"WORLD",12904902.6764031,2048
"AFR",1542249.70547464,2049
"ASIA",6424707.18890326,2049
"AUS",499830.511157203,2049
"EUR",1556252.66854801,2049
"LAM",870599.697446213,2049
"NAM",2142660.83396419,2049
"WORLD",12887756.0467873,2049
"AFR",1544246.21971375,2050
"ASIA",6412641.5831396,2050
"AUS",499302.362624452,2050
"EUR",1551064.4359131,2050
"LAM",871325.938352836,2050
"NAM",2141234.53621754,2050
"WORLD",12870610.4315549,2050
"AFR",1543495.65509526,2051
"ASIA",6401976.13344364,2051
"AUS",498430.876754555,2051
"EUR",1547179.29239151,2051
"LAM",870317.190766535,2051
"NAM",2137444.2860597,2051
"WORLD",12849549.5489249,2051
"AFR",1542745.08246023,2052
"ASIA",6391310.81870671,2052
"AUS",497559.497614533,2052
"EUR",1543294.14231811,2052
"LAM",869308.383268095,2052
"NAM",2133654.03722426,2052
"WORLD",12828488.9862781,2052
"AFR",1541994.55726363,2053
"ASIA",6380645.29589707,2053
"AUS",496688.098822142,2053
"EUR",1539408.92086968,2053
"LAM",868299.69518218,2053
"NAM",2129863.77224993,2053
"WORLD",12807428.217672,2053
"AFR",1541244.00993273,2054
"ASIA",6369979.81340503,2054
"AUS",495816.71078246,2054
"EUR",1535523.75805371,2054
"LAM",867290.991638879,2054
"NAM",2126073.56949045,2054
"WORLD",12786367.5813213,2054
"AFR",1540493.53843087,2055
"ASIA",6359314.44862009,2055
"AUS",494945.298004299,2055
"EUR",1531638.55920906,2055
"LAM",866282.231547095,2055
"NAM",2122283.28268941,2055
"WORLD",12765306.9165786,2055
"AFR",1539742.8526935,2056
"ASIA",6348648.79497213,2056
"AUS",494073.862408892,2056
"EUR",1527753.40098853,2056
"LAM",865273.457055526,2056
"NAM",2118492.97591461,2056
"WORLD",12744245.8008344,2056
"AFR",1538992.36193183,2057
"ASIA",6337983.57988827,2057
"AUS",493202.434222107,2057
"EUR",1523868.18713192,2057
"LAM",864264.722064739,2057
"NAM",2114702.71350627,2057
"WORLD",12723185.2889368,2057
"AFR",1538241.87123594,2058
"ASIA",6327317.95762181,2058
"AUS",492330.992531512,2058
"EUR",1519982.96656953,2058
"LAM",863255.971446772,2058
"NAM",2110912.39623252,2058
"WORLD",12702124.3037115,2058
"AFR",1537491.25430478,2059
"ASIA",6316652.56825343,2059
"AUS",491459.645426881,2059
"EUR",1516097.78652434,2059
"LAM",862247.060565261,2059
"NAM",2107122.15963509,2059
"WORLD",12681063.5221963,2059
"AFR",1536740.62111408,2060
"ASIA",6305986.96497487,2060
"AUS",490588.208969917,2060
"EUR",1512212.57083448,2060
"LAM",861238.422031129,2060
"NAM",2103331.84164486,2060
"WORLD",12660002.5522169,2060
"AFR",1534511.0879182,2061
"ASIA",6289883.15046547,2061
"AUS",489229.143716252,2061
"EUR",1507225.89728326,2061
"LAM",859222.771235267,2061
"NAM",2097507.1406292,2061
"WORLD",12627500.9974654,2061
"AFR",1532281.45720649,2062
"ASIA",6273779.17369754,2062
"AUS",487869.96740407,2062
"EUR",1502239.17750599,2062
"LAM",857207.176890917,2062
"NAM",2091682.52695989,2062
"WORLD",12594999.2215715,2062
"AFR",1530052.02767933,2063
"ASIA",6257675.36460943,2063
"AUS",486510.884353952,2063
"EUR",1497252.4495201,2063
"LAM",855191.543309534,2063
"NAM",2085857.72018032,2063
"WORLD",12562497.6704343,2063
"AFR",1527822.38522753,2064
"ASIA",6241571.46635436,2064
"AUS",485151.755309053,2064
"EUR",1492265.76877934,2064
"LAM",853175.835798341,2064
"NAM",2080033.12236914,2064
"WORLD",12529995.9900921,2064
"AFR",1525593.0329353,2065
"ASIA",6225467.47267772,2065
"AUS",483792.712758635,2065
"EUR",1487278.99812971,2065
"LAM",851160.422866935,2065
"NAM",2074208.43828766,2065
"WORLD",12497494.6823791,2065
"AFR",1523363.51826831,2066
"ASIA",6209363.50627677,2066
"AUS",482433.511062703,2066
"EUR",1482292.32613137,2066
"LAM",849144.699876916,2066
