gcam_lty,agg_lty
CornAEZ1,Non-Energy Crops
CornAEZ10,Non-Energy Crops
CornAEZ11,Non-Energy Crops
CornAEZ12,Non-Energy Crops
CornAEZ13,Non-Energy Crops
CornAEZ14,Non-Energy Crops
CornAEZ15,Non-Energy Crops
CornAEZ16,Non-Energy Crops
CornAEZ17,Non-Energy Crops
CornAEZ18,Non-Energy Crops
CornAEZ2,Non-Energy Crops
CornAEZ3,Non-Energy Crops
CornAEZ4,Non-Energy Crops
CornAEZ5,Non-Energy Crops
CornAEZ6,Non-Energy Crops
CornAEZ7,Non-Energy Crops
CornAEZ8,Non-Energy Crops
CornAEZ9,Non-Energy Crops
FiberCropAEZ1,Non-Energy Crops
FiberCropAEZ10,Non-Energy Crops
FiberCropAEZ11,Non-Energy Crops
FiberCropAEZ12,Non-Energy Crops
FiberCropAEZ13,Non-Energy Crops
FiberCropAEZ14,Non-Energy Crops
FiberCropAEZ15,Non-Energy Crops
FiberCropAEZ16,Non-Energy Crops
FiberCropAEZ17,Non-Energy Crops
FiberCropAEZ18,Non-Energy Crops
FiberCropAEZ2,Non-Energy Crops
FiberCropAEZ3,Non-Energy Crops
FiberCropAEZ4,Non-Energy Crops
FiberCropAEZ5,Non-Energy Crops
FiberCropAEZ6,Non-Energy Crops
FiberCropAEZ7,Non-Energy Crops
FiberCropAEZ8,Non-Energy Crops
FiberCropAEZ9,Non-Energy Crops
FodderGrassAEZ1,Non-Energy Crops
FodderGrassAEZ10,Non-Energy Crops
FodderGrassAEZ11,Non-Energy Crops
FodderGrassAEZ12,Non-Energy Crops
FodderGrassAEZ13,Non-Energy Crops
FodderGrassAEZ14,Non-Energy Crops
FodderGrassAEZ15,Non-Energy Crops
FodderGrassAEZ16,Non-Energy Crops
FodderGrassAEZ17,Non-Energy Crops
FodderGrassAEZ18,Non-Energy Crops
FodderGrassAEZ2,Non-Energy Crops
FodderGrassAEZ3,Non-Energy Crops
FodderGrassAEZ4,Non-Energy Crops
FodderGrassAEZ5,Non-Energy Crops
FodderGrassAEZ6,Non-Energy Crops
FodderGrassAEZ7,Non-Energy Crops
FodderGrassAEZ8,Non-Energy Crops
FodderGrassAEZ9,Non-Energy Crops
FodderHerbAEZ1,Non-Energy Crops
FodderHerbAEZ10,Non-Energy Crops
FodderHerbAEZ11,Non-Energy Crops
FodderHerbAEZ12,Non-Energy Crops
FodderHerbAEZ13,Non-Energy Crops
FodderHerbAEZ14,Non-Energy Crops
FodderHerbAEZ15,Non-Energy Crops
FodderHerbAEZ16,Non-Energy Crops
FodderHerbAEZ17,Non-Energy Crops
FodderHerbAEZ18,Non-Energy Crops
FodderHerbAEZ2,Non-Energy Crops
FodderHerbAEZ3,Non-Energy Crops
FodderHerbAEZ4,Non-Energy Crops
FodderHerbAEZ5,Non-Energy Crops
FodderHerbAEZ6,Non-Energy Crops
FodderHerbAEZ7,Non-Energy Crops
FodderHerbAEZ8,Non-Energy Crops
FodderHerbAEZ9,Non-Energy Crops
ForestAEZ1,Commercial Forest
ForestAEZ10,Commercial Forest
ForestAEZ11,Commercial Forest
ForestAEZ12,Commercial Forest
ForestAEZ13,Commercial Forest
ForestAEZ14,Commercial Forest
ForestAEZ15,Commercial Forest
ForestAEZ16,Commercial Forest
ForestAEZ17,Commercial Forest
ForestAEZ18,Commercial Forest
ForestAEZ2,Commercial Forest
ForestAEZ3,Commercial Forest
ForestAEZ4,Commercial Forest
ForestAEZ5,Commercial Forest
ForestAEZ6,Commercial Forest
ForestAEZ7,Commercial Forest
ForestAEZ8,Commercial Forest
ForestAEZ9,Commercial Forest
GrasslandAEZ1,Grassland
GrasslandAEZ10,Grassland
GrasslandAEZ11,Grassland
GrasslandAEZ12,Grassland
GrasslandAEZ13,Grassland
GrasslandAEZ14,Grassland
GrasslandAEZ15,Grassland
GrasslandAEZ16,Grassland
GrasslandAEZ17,Grassland
GrasslandAEZ18,Grassland
GrasslandAEZ2,Grassland
GrasslandAEZ3,Grassland
GrasslandAEZ4,Grassland
GrasslandAEZ5,Grassland
GrasslandAEZ6,Grassland
GrasslandAEZ7,Grassland
GrasslandAEZ8,Grassland
GrasslandAEZ9,Grassland
MiscCropAEZ1,Non-Energy Crops
MiscCropAEZ10,Non-Energy Crops
MiscCropAEZ11,Non-Energy Crops
MiscCropAEZ12,Non-Energy Crops
MiscCropAEZ13,Non-Energy Crops
MiscCropAEZ14,Non-Energy Crops
MiscCropAEZ15,Non-Energy Crops
MiscCropAEZ16,Non-Energy Crops
MiscCropAEZ17,Non-Energy Crops
MiscCropAEZ18,Non-Energy Crops
MiscCropAEZ2,Non-Energy Crops
MiscCropAEZ3,Non-Energy Crops
MiscCropAEZ4,Non-Energy Crops
MiscCropAEZ5,Non-Energy Crops
MiscCropAEZ6,Non-Energy Crops
MiscCropAEZ7,Non-Energy Crops
MiscCropAEZ8,Non-Energy Crops
MiscCropAEZ9,Non-Energy Crops
OilCropAEZ1,Non-Energy Crops
OilCropAEZ10,Non-Energy Crops
OilCropAEZ11,Non-Energy Crops
OilCropAEZ12,Non-Energy Crops
OilCropAEZ13,Non-Energy Crops
OilCropAEZ14,Non-Energy Crops
OilCropAEZ15,Non-Energy Crops
OilCropAEZ16,Non-Energy Crops
OilCropAEZ17,Non-Energy Crops
OilCropAEZ18,Non-Energy Crops
OilCropAEZ2,Non-Energy Crops
OilCropAEZ3,Non-Energy Crops
OilCropAEZ4,Non-Energy Crops
OilCropAEZ5,Non-Energy Crops
OilCropAEZ6,Non-Energy Crops
OilCropAEZ7,Non-Energy Crops
OilCropAEZ8,Non-Energy Crops
OilCropAEZ9,Non-Energy Crops
OtherArableLandAEZ1,Non-Energy Crops
OtherArableLandAEZ10,Non-Energy Crops
OtherArableLandAEZ11,Non-Energy Crops
OtherArableLandAEZ12,Non-Energy Crops
OtherArableLandAEZ13,Non-Energy Crops
OtherArableLandAEZ14,Non-Energy Crops
OtherArableLandAEZ15,Non-Energy Crops
OtherArableLandAEZ16,Non-Energy Crops
OtherArableLandAEZ17,Non-Energy Crops
OtherArableLandAEZ18,Non-Energy Crops
OtherArableLandAEZ2,Non-Energy Crops
OtherArableLandAEZ3,Non-Energy Crops
OtherArableLandAEZ4,Non-Energy Crops
OtherArableLandAEZ5,Non-Energy Crops
OtherArableLandAEZ6,Non-Energy Crops
OtherArableLandAEZ7,Non-Energy Crops
OtherArableLandAEZ8,Non-Energy Crops
OtherArableLandAEZ9,Non-Energy Crops
OtherGrainAEZ1,Non-Energy Crops
OtherGrainAEZ10,Non-Energy Crops
OtherGrainAEZ11,Non-Energy Crops
OtherGrainAEZ12,Non-Energy Crops
OtherGrainAEZ13,Non-Energy Crops
OtherGrainAEZ14,Non-Energy Crops
OtherGrainAEZ15,Non-Energy Crops
OtherGrainAEZ16,Non-Energy Crops
OtherGrainAEZ17,Non-Energy Crops
OtherGrainAEZ18,Non-Energy Crops
OtherGrainAEZ2,Non-Energy Crops
OtherGrainAEZ3,Non-Energy Crops
OtherGrainAEZ4,Non-Energy Crops
OtherGrainAEZ5,Non-Energy Crops
